rank,priority_band,priority_rationale,action_class,instrument_uri,instrument_label,component_uri,component_label,doc_family,current_reachable_urls,current_blocked_urls,suggested_source_target,recommended_action,status,live_candidate_urls_by_family,has_live_candidates,needs_link_replacement,needs_component_specific_upgrade,next_step
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739402037946315,IV Fluid Administration,pmsr:/COM1786054978466517000,IV Fluid Administration Actuator,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739402037946315,IV Fluid Administration,pmsr:/COM1786054978466513000,IV Fluid Administration Detector,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739487989328225,Laerdal ALS Baby Trainer 200,pmsr:/COM1786054978466594000,Laerdal ALS Baby Trainer 200 Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739487989328225,Laerdal ALS Baby Trainer 200,pmsr:/COM1786054978466590000,Laerdal ALS Baby Trainer 200 Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739398519577895,Laerdal Airway Simulator,pmsr:/COM1786054978466614000,Laerdal Airway Simulator Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739398519577895,Laerdal Airway Simulator,pmsr:/COM1786054978466608000,Laerdal Airway Simulator Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739392367425715,Laerdal DAE Simulator,pmsr:/COM1786054978466632000,Laerdal DAE Simulator Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739392367425715,Laerdal DAE Simulator,pmsr:/COM1786054978466628000,Laerdal DAE Simulator Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/COM1738188452521625,DAE Trainer  -- CB:EMPTY,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/COM1738187586682545,Electrode  -- CB:Eletrodes Adult,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/COM1738187818694655,Electrode  -- CB:Eletrodes Pediatric,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/COM1786054978466652000,Laerdal Nursing Anne Mannequin Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/COM1786054978466647000,Laerdal Nursing Anne Mannequin Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/COM1739399134970895,Microphone  -- CB:EMPTY,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/COM1738100153764155,SimPad Device  -- CB:EMPTY,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/COM1738099771423295,Skill Guide Device  -- CB:EMPTY,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739401557396065,Laerdal Nursing Care Simulator,pmsr:/COM1786054978466690000,Laerdal Nursing Care Simulator Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739401557396065,Laerdal Nursing Care Simulator,pmsr:/COM1786054978466684000,Laerdal Nursing Care Simulator Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739397137461495,Low-Fidelity Mannequin,pmsr:/COM1786054978466711000,Low-Fidelity Mannequin Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739397137461495,Low-Fidelity Mannequin,pmsr:/COM1786054978466706000,Low-Fidelity Mannequin Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1740143777940835,Male Examination Mannequin,pmsr:/COM1786054978466731000,Male Examination Mannequin Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1740143777940835,Male Examination Mannequin,pmsr:/COM1786054978466727000,Male Examination Mannequin Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739403078441215,Male Genitalia Catherization Simulator,pmsr:/COM1786054978466752000,Male Genitalia Catherization Simulator Actuator,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739403078441215,Male Genitalia Catherization Simulator,pmsr:/COM1786054978466746000,Male Genitalia Catherization Simulator Detector,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1740143878244085,Obstetric Simulator,pmsr:/COM1786054978466903000,Obstetric Simulator Actuator,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1740143878244085,Obstetric Simulator,pmsr:/COM1786054978466898000,Obstetric Simulator Detector,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739403291912375,Penis Foreskin Cleaning Simulator,pmsr:/COM1786054978466976000,Penis Foreskin Cleaning Simulator Actuator,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739403291912375,Penis Foreskin Cleaning Simulator,pmsr:/COM1786054978466971000,Penis Foreskin Cleaning Simulator Detector,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739482671461295,Prostate Model,pmsr:/COM1786054978467138000,Prostate Model Actuator,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739482671461295,Prostate Model,pmsr:/COM1786054978467133000,Prostate Model Detector,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739287640585765,Rectal Examination Simulator,pmsr:/COM1786054978467160000,Rectal Examination Simulator Actuator,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739287640585765,Rectal Examination Simulator,pmsr:/COM1786054978467155000,Rectal Examination Simulator Detector,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.
