instrument_uri,instrument_label,component_uri,component_label,component_kind,quality_grade,primary_domain,secondary_domain,doc_family,primary_doc_url,secondary_doc_url,remediation_priority,recommendation
pmsr:/INS1739287640585765,Rectal Examination Simulator,pmsr:/COM1786054978467155000,Rectal Examination Simulator Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,limbsandthings.com,cdc.gov,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739287640585765,Rectal Examination Simulator,pmsr:/COM1786054978467160000,Rectal Examination Simulator Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,limbsandthings.com,cdc.gov,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288006994165,Diagnostic Imaging Simulator,pmsr:/COM1786054978466360000,Diagnostic Imaging Simulator Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288006994165,Diagnostic Imaging Simulator,pmsr:/COM1786054978466364000,Diagnostic Imaging Simulator Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288153666735,Diagnostic Ultrasound,pmsr:/COM1786054978466392000,Diagnostic Ultrasound Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288153666735,Diagnostic Ultrasound,pmsr:/COM1786054978466395000,Diagnostic Ultrasound Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288297796655,Vascular Access Ultrasound Simulator,pmsr:/COM1786054978467435000,Vascular Access Ultrasound Simulator Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288297796655,Vascular Access Ultrasound Simulator,pmsr:/COM1786054978467440000,Vascular Access Ultrasound Simulator Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288428472235,Ultrasound,pmsr:/COM1786054978467339000,Ultrasound Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288428472235,Ultrasound,pmsr:/COM1786054978467343000,Ultrasound Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288499528465,Chison Cbit-9 Stationary Ultrasound,pmsr:/COM1786054978466328000,Chison Cbit-9 Stationary Ultrasound Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288499528465,Chison Cbit-9 Stationary Ultrasound,pmsr:/COM1786054978466332000,Chison Cbit-9 Stationary Ultrasound Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288566447555,Portable Ultrasound,pmsr:/COM1786054978467089000,Portable Ultrasound Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288566447555,Portable Ultrasound,pmsr:/COM1786054978467094000,Portable Ultrasound Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288625580975,Butterfly IQ+,pmsr:/COM1786054978466222000,Butterfly IQ+ Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288625580975,Butterfly IQ+,pmsr:/COM1786054978466225000,Butterfly IQ+ Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,pmsr:/COM1786054978466236000,Butterfly Ultrasound Probes Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,pmsr:/COM1786054978466241000,Butterfly Ultrasound Probes Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739300958884615,Imaging,pmsr:/COM1786054978466531000,Imaging Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739300958884615,Imaging,pmsr:/COM1786054978466538000,Imaging Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.butterflynetwork.com,who.int,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301009974715,ARTEC LEO Scanner,pmsr:/COM1786054978466045000,ARTEC LEO Scanner Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.3shape.com,fda.gov,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301009974715,ARTEC LEO Scanner,pmsr:/COM1786054978466052000,ARTEC LEO Scanner Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.3shape.com,fda.gov,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301081410085,Intraoral Scanner,pmsr:/COM1786054978466570000,Intraoral Scanner Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.3shape.com,fda.gov,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301081410085,Intraoral Scanner,pmsr:/COM1786054978466575000,Intraoral Scanner Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.3shape.com,fda.gov,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301133578555,Extraoral Scanner,pmsr:/COM1786054978466425000,Extraoral Scanner Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.3shape.com,fda.gov,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301133578555,Extraoral Scanner,pmsr:/COM1786054978466429000,Extraoral Scanner Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.3shape.com,fda.gov,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301189412025,CAD-CAM System,pmsr:/COM1786054978466252000,CAD-CAM System Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,support.3shape.com,fda.gov,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301189412025,CAD-CAM System,pmsr:/COM1786054978466256000,CAD-CAM System Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,support.3shape.com,fda.gov,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301317613705,Automated External Defibrilator,pmsr:/COM1786054978466180000,Automated External Defibrilator Detector,detector,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301317613705,Automated External Defibrilator,pmsr:/COM1786054978466184000,Automated External Defibrilator Actuator,actuator,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301711235865,Care Simulators,pmsr:/COM1786054978466312000,Care Simulators Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739301711235865,Care Simulators,pmsr:/COM1786054978466316000,Care Simulators Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739301814401805,Medical Procedure Simulator,pmsr:/COM1786054978466833000,Medical Procedure Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739301814401805,Medical Procedure Simulator,pmsr:/COM1786054978466838000,Medical Procedure Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739301891301765,Suture Simulator,pmsr:/COM1786054978467316000,Suture Simulator Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,limbsandthings.com,cdc.gov,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739301891301765,Suture Simulator,pmsr:/COM1786054978467320000,Suture Simulator Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,limbsandthings.com,cdc.gov,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739302175458785,Vascular Access Simulator,pmsr:/COM1786054978467411000,Vascular Access Simulator Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,limbsandthings.com,cdc.gov,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739302175458785,Vascular Access Simulator,pmsr:/COM1786054978467416000,Vascular Access Simulator Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,limbsandthings.com,cdc.gov,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739303008518495,Ventilator Care Simulator,pmsr:/COM1786054978467459000,Ventilator Care Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739303008518495,Ventilator Care Simulator,pmsr:/COM1786054978467464000,Ventilator Care Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739303195193785,Geriatic Care Simulator,pmsr:/COM1786054978466460000,Geriatic Care Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739303195193785,Geriatic Care Simulator,pmsr:/COM1786054978466464000,Geriatic Care Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739303333850795,Oncology Care Simulator,pmsr:/COM1786054978466920000,Oncology Care Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739303333850795,Oncology Care Simulator,pmsr:/COM1786054978466925000,Oncology Care Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739392122823235,Procedure Simulator,pmsr:/COM1786054978467110000,Procedure Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739392122823235,Procedure Simulator,pmsr:/COM1786054978467116000,Procedure Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,pmsr:/COM1786054978466297000,Cardiac Procedure Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,pmsr:/COM1786054978466301000,Cardiac Procedure Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739392275798255,ResusciAnne DAE Simulator,pmsr:/COM1786054978467199000,ResusciAnne DAE Simulator Detector,detector,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739392275798255,ResusciAnne DAE Simulator,pmsr:/COM1786054978467204000,ResusciAnne DAE Simulator Actuator,actuator,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739392367425715,Laerdal DAE Simulator,pmsr:/COM1786054978466628000,Laerdal DAE Simulator Detector,detector,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739392367425715,Laerdal DAE Simulator,pmsr:/COM1786054978466632000,Laerdal DAE Simulator Actuator,actuator,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739397137461495,Low-Fidelity Mannequin,pmsr:/COM1786054978466706000,Low-Fidelity Mannequin Detector,detector,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739397137461495,Low-Fidelity Mannequin,pmsr:/COM1786054978466711000,Low-Fidelity Mannequin Actuator,actuator,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,pmsr:/COM1786054978466477000,Gynaecological Examination Mannequin Detector,detector,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,pmsr:/COM1786054978466482000,Gynaecological Examination Mannequin Actuator,actuator,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739398437257165,Airway Simulator,pmsr:/COM1786054978466068000,Airway Simulator Detector,detector,Q3_VENDOR_PLUS_GOVERNANCE,limbsandthings.com,cdc.gov,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739398437257165,Airway Simulator,pmsr:/COM1786054978466074000,Airway Simulator Actuator,actuator,Q3_VENDOR_PLUS_GOVERNANCE,limbsandthings.com,cdc.gov,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,P3_NONE,No immediate action required; optionally add direct model manual PDF.
