rank,priority_band,priority_rationale,instrument_uri,instrument_label,component_uri,component_label,component_kind,quality_grade,remediation_priority,doc_family,current_primary_doc_url,current_secondary_doc_url,suggested_source_target,recommended_action
11,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739392182337835,Cardiac Procedure Simulator,pmsr:/COM1786054978466301000,Cardiac Procedure Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
12,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739301711235865,Care Simulators,pmsr:/COM1786054978466312000,Care Simulators Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
13,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739301711235865,Care Simulators,pmsr:/COM1786054978466316000,Care Simulators Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
14,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739287212610855,Dani Model,pmsr:/COM1786054978466344000,Dani Model Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
15,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739287212610855,Dani Model,pmsr:/COM1786054978466348000,Dani Model Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
16,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739287021517805,Diagnostic Simulators,pmsr:/COM1786054978466375000,Diagnostic Simulators Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
17,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739287021517805,Diagnostic Simulators,pmsr:/COM1786054978466380000,Diagnostic Simulators Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
18,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739404158691525,Ear Irrigation Simulator,pmsr:/COM1786054978466408000,Ear Irrigation Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
19,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739404158691525,Ear Irrigation Simulator,pmsr:/COM1786054978466412000,Ear Irrigation Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
20,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739303195193785,Geriatic Care Simulator,pmsr:/COM1786054978466460000,Geriatic Care Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
21,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739303195193785,Geriatic Care Simulator,pmsr:/COM1786054978466464000,Geriatic Care Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
22,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739404046114785,Intramuscular Injections Simulator,pmsr:/COM1786054978466552000,Intramuscular Injections Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
23,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739404046114785,Intramuscular Injections Simulator,pmsr:/COM1786054978466557000,Intramuscular Injections Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
24,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739483351917145,Male Inguinal Hernia Anatomy Model,pmsr:/COM1786054978466767000,Male Inguinal Hernia Anatomy Model Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
25,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739483351917145,Male Inguinal Hernia Anatomy Model,pmsr:/COM1786054978466773000,Male Inguinal Hernia Anatomy Model Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
26,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,ncit:C16830,Medical Device,pmsr:/COM1786054978466790000,Medical Device Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
27,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,ncit:C16830,Medical Device,pmsr:/COM1786054978466794000,Medical Device Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
28,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739287092102085,Medical Examination Simulators,pmsr:/COM1786054978466811000,Medical Examination Simulators Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
29,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739287092102085,Medical Examination Simulators,pmsr:/COM1786054978466817000,Medical Examination Simulators Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
30,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739301814401805,Medical Procedure Simulator,pmsr:/COM1786054978466833000,Medical Procedure Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
31,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739301814401805,Medical Procedure Simulator,pmsr:/COM1786054978466838000,Medical Procedure Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
32,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739400689838665,Nursing Care Simulator,pmsr:/COM1786054978466875000,Nursing Care Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
33,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739400689838665,Nursing Care Simulator,pmsr:/COM1786054978466881000,Nursing Care Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
34,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739303333850795,Oncology Care Simulator,pmsr:/COM1786054978466920000,Oncology Care Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
35,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739303333850795,Oncology Care Simulator,pmsr:/COM1786054978466925000,Oncology Care Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
36,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:PhysicalMedicalDevice,Physical Medical Device,pmsr:/COM1786054978466995000,Physical Medical Device Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
37,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:PhysicalMedicalDevice,Physical Medical Device,pmsr:/COM1786054978466999000,Physical Medical Device Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
38,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:PhysicalMedicalSimulator,Physical Medical Simulator,pmsr:/COM1786054978467018000,Physical Medical Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
39,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:PhysicalMedicalSimulator,Physical Medical Simulator,pmsr:/COM1786054978467023000,Physical Medical Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
40,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1740087239872215,Physiology Simulator,pmsr:/COM1786054978467041000,Physiology Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
41,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1740087239872215,Physiology Simulator,pmsr:/COM1786054978467045000,Physiology Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
42,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739453043505715,Pitting Edema Simulator,pmsr:/COM1786054978467065000,Pitting Edema Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
43,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739453043505715,Pitting Edema Simulator,pmsr:/COM1786054978467069000,Pitting Edema Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
44,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739392122823235,Procedure Simulator,pmsr:/COM1786054978467110000,Procedure Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
45,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739392122823235,Procedure Simulator,pmsr:/COM1786054978467116000,Procedure Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
46,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739452783104705,Skin Care Procedure Simulator,pmsr:/COM1786054978467245000,Skin Care Procedure Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
47,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739452783104705,Skin Care Procedure Simulator,pmsr:/COM1786054978467249000,Skin Care Procedure Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
48,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739402585415785,Vaginal Medicine Administration Simulator,pmsr:/COM1786054978467387000,Vaginal Medicine Administration Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
49,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739402585415785,Vaginal Medicine Administration Simulator,pmsr:/COM1786054978467392000,Vaginal Medicine Administration Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
50,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739303008518495,Ventilator Care Simulator,pmsr:/COM1786054978467459000,Ventilator Care Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
51,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739303008518495,Ventilator Care Simulator,pmsr:/COM1786054978467464000,Ventilator Care Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
