hasURI,hasco:hascoType,rdf:type,rdfs:label,vstoi:hasComponentStem,vstoi:hasCodebook,vstoi:isAttributeOf,hasco:hasWebDocument
pmsr:/COM9fec4dacf65a9e965,vstoi:Component,pmsr:/CSM9d220c5adb12ec30e,Automated External Defibrilator Pulse Rate Detector,pmsr:/CSM9d220c5adb12ec30e,pmsr:/CBK1786054978465925000,pmsr:/INS1739301317613705,https://laerdal.com/us/products/simulation-training/
pmsr:/COM965a74fbb908db6bf,vstoi:Component,pmsr:/CSM9a8a78fad10b0006c,Automated External Defibrilator Airway Pressure Detector,pmsr:/CSM9a8a78fad10b0006c,pmsr:/CBK1786054978465925000,pmsr:/INS1739301317613705,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9beda1497dabc50eb,vstoi:Component,pmsr:/CSM96b1c40cbd945a79a,Automated External Defibrilator Applied Force Detector,pmsr:/CSM96b1c40cbd945a79a,pmsr:/CBK1786054978465925000,pmsr:/INS1739301317613705,https://laerdal.com/us/products/simulation-training/
pmsr:/COM94ecc82cd49e57b32,vstoi:Component,pmsr:/CSM9a73c6d40dc645982,Blood Pressure Measurement Simulator Applied Force Detector,pmsr:/CSM9a73c6d40dc645982,pmsr:/CBK1786054978465925000,pmsr:/INS1739402230863265,https://www.iso.org/standard/72704.html
pmsr:/COM9987750264b800ee8,vstoi:Component,pmsr:/CSM95024d8c436e90342,Blood Pressure Measurement Simulator Airway Pressure Detector,pmsr:/CSM95024d8c436e90342,pmsr:/CBK1786054978465925000,pmsr:/INS1739402230863265,https://www.iso.org/standard/72704.html
pmsr:/COM9936c34ad2f82b371,vstoi:Component,pmsr:/CSM9d498117296650fd4,Blood Pressure Measurement Simulator Pulse Rate Detector,pmsr:/CSM9d498117296650fd4,pmsr:/CBK1786054978465925000,pmsr:/INS1739402230863265,https://www.iso.org/standard/72704.html
pmsr:/COM9d590f9452bcb0744,vstoi:Component,pmsr:/CSM956a09acce37c00df,Butterfly IQ+ Probe Contact Detector,pmsr:/CSM956a09acce37c00df,pmsr:/CBK1786054978465925000,pmsr:/INS1739288625580975,https://support.butterflynetwork.com/hc/en-us
pmsr:/COM965212c49f08f1118,vstoi:Component,pmsr:/CSM9d2cd2e0e3164e3dc,Butterfly Ultrasound Probes Probe Contact Detector,pmsr:/CSM9d2cd2e0e3164e3dc,pmsr:/CBK1786054978465925000,pmsr:/INS1739288691415495,https://www.chison.com/handheld-ultrasound/
pmsr:/COM9e7fb0e4387c73762,vstoi:Component,pmsr:/CSM9e1a69de49a265f82,CAD-CAM System Interaction Event Detector,pmsr:/CSM9e1a69de49a265f82,pmsr:/CBK1786054978465925000,pmsr:/INS1739301189412025,https://support.3shape.com/
pmsr:/COM91d2e9200b0d09c7d,vstoi:Component,pmsr:/CSM96b31842bce5dcdb2,Cancer Patient Simulator Interaction Event Detector,pmsr:/CSM96b31842bce5dcdb2,pmsr:/CBK1786054978465925000,pmsr:/INS1739820624939265,https://www.iso.org/standard/72704.html
pmsr:/COM9b563d4fdffc071c7,vstoi:Component,pmsr:/CSM90815dc96432f96da,Cancer Patient Simulator Airway Pressure Detector,pmsr:/CSM90815dc96432f96da,pmsr:/CBK1786054978465925000,pmsr:/INS1739820624939265,https://www.iso.org/standard/72704.html
pmsr:/COM96888ab9d556e9f96,vstoi:Component,pmsr:/CSM9bfbefb4029562be2,Cancer Patient Simulator Pulse Rate Detector,pmsr:/CSM9bfbefb4029562be2,pmsr:/CBK1786054978465925000,pmsr:/INS1739820624939265,https://www.iso.org/standard/72704.html
pmsr:/COM97cd9420027aeda3a,vstoi:Component,pmsr:/CSM986f6f2fcca772e17,Cancer Patient Simulator Interaction Event Detector,pmsr:/CSM986f6f2fcca772e17,pmsr:/CBK1786054978465925000,pmsr:/INS1739879206550705,https://www.iso.org/standard/72704.html
pmsr:/COM9600435be332b85c5,vstoi:Component,pmsr:/CSM9c7164c6501a2f221,Cancer Patient Simulator Airway Pressure Detector,pmsr:/CSM9c7164c6501a2f221,pmsr:/CBK1786054978465925000,pmsr:/INS1739879206550705,https://www.iso.org/standard/72704.html
pmsr:/COM993bba4dbe9c3083e,vstoi:Component,pmsr:/CSM97d340fb11b45a500,Cancer Patient Simulator Pulse Rate Detector,pmsr:/CSM97d340fb11b45a500,pmsr:/CBK1786054978465925000,pmsr:/INS1739879206550705,https://www.iso.org/standard/72704.html
pmsr:/COM95a5e3eb50affb204,vstoi:Component,pmsr:/CSM918a63ecb1715441b,Cardiac Procedure Simulator Pulse Rate Detector,pmsr:/CSM918a63ecb1715441b,pmsr:/CBK1786054978465925000,pmsr:/INS1739392182337835,https://www.iso.org/standard/72704.html
pmsr:/COM9af58efb3d975da63,vstoi:Component,pmsr:/CSM990298a1427442675,Cardiac Procedure Simulator Airway Pressure Detector,pmsr:/CSM990298a1427442675,pmsr:/CBK1786054978465925000,pmsr:/INS1739392182337835,https://www.iso.org/standard/72704.html
pmsr:/COM905b86b9e5409690b,vstoi:Component,pmsr:/CSM91c04b48e31427ab0,Cardiac Procedure Simulator Applied Force Detector,pmsr:/CSM91c04b48e31427ab0,pmsr:/CBK1786054978465925000,pmsr:/INS1739392182337835,https://www.iso.org/standard/72704.html
pmsr:/COM9c9998b0d6c57586e,vstoi:Component,pmsr:/CSM98b9cb85b46753960,Care Simulators Interaction Event Detector,pmsr:/CSM98b9cb85b46753960,pmsr:/CBK1786054978465925000,pmsr:/INS1739301711235865,https://www.iso.org/standard/72704.html
pmsr:/COM9c44ff66ece930aee,vstoi:Component,pmsr:/CSM9379db4d4fb785cf5,Care Simulators Airway Pressure Detector,pmsr:/CSM9379db4d4fb785cf5,pmsr:/CBK1786054978465925000,pmsr:/INS1739301711235865,https://www.iso.org/standard/72704.html
pmsr:/COM9edd3c7ab12ea1a73,vstoi:Component,pmsr:/CSM92f77f894ce273233,Care Simulators Pulse Rate Detector,pmsr:/CSM92f77f894ce273233,pmsr:/CBK1786054978465925000,pmsr:/INS1739301711235865,https://www.iso.org/standard/72704.html
pmsr:/COM96e335ed1aba2ac89,vstoi:Component,pmsr:/CSM9918d10e4ac4a7259,Chison Cbit-9 Stationary Ultrasound Probe Contact Detector,pmsr:/CSM9918d10e4ac4a7259,pmsr:/CBK1786054978465925000,pmsr:/INS1739288499528465,https://www.chison.com/products/
pmsr:/COM9353c22c5ba75ca42,vstoi:Component,pmsr:/CSM94d921b7a5d237544,Dani Model Scenario State Detector,pmsr:/CSM94d921b7a5d237544,pmsr:/CBK1786054978465925000,pmsr:/INS1739287212610855,https://www.iso.org/standard/72704.html
pmsr:/COM97d2086a75ab53ee1,vstoi:Component,pmsr:/CSM9f92c10a177fda40c,Dani Model Airway Pressure Detector,pmsr:/CSM9f92c10a177fda40c,pmsr:/CBK1786054978465925000,pmsr:/INS1739287212610855,https://www.iso.org/standard/72704.html
pmsr:/COM91b861f9b1f5aaed2,vstoi:Component,pmsr:/CSM977ca489e37e7effe,Dani Model Pulse Rate Detector,pmsr:/CSM977ca489e37e7effe,pmsr:/CBK1786054978465925000,pmsr:/INS1739287212610855,https://www.iso.org/standard/72704.html
pmsr:/COM9e21c24b6f5f817b7,vstoi:Component,pmsr:/CSM9b335deba451cba52,Dani Model Applied Force Detector,pmsr:/CSM9b335deba451cba52,pmsr:/CBK1786054978465925000,pmsr:/INS1739287212610855,https://www.iso.org/standard/72704.html
pmsr:/COM9a0cace6ab8fdc335,vstoi:Component,pmsr:/CSM9c66ffd5355ad297e,Dani Model Venous Flashback Detector,pmsr:/CSM9c66ffd5355ad297e,pmsr:/CBK1786054978465925000,pmsr:/INS1739287212610855,https://www.iso.org/standard/72704.html
pmsr:/COM91cc68152e810d31e,vstoi:Component,pmsr:/CSM975bf32c5546d1287,Dani Model Action Sequence Detector,pmsr:/CSM975bf32c5546d1287,pmsr:/CBK1786054978465925000,pmsr:/INS1739287212610855,https://www.iso.org/standard/72704.html
pmsr:/COM9e988edbc795ec972,vstoi:Component,pmsr:/CSM93316fda62f53722b,Dani Model Ventilation Flow Detector,pmsr:/CSM93316fda62f53722b,pmsr:/CBK1786054978465925000,pmsr:/INS1739287212610855,https://www.iso.org/standard/72704.html
pmsr:/COM9f849432b7ab6abfb,vstoi:Component,pmsr:/CSM93c4a5674971bce75,Diagnostic Imaging Simulator Probe Contact Detector,pmsr:/CSM93c4a5674971bce75,pmsr:/CBK1786054978465925000,pmsr:/INS1739288006994165,https://www.chison.com/b-w-ultrasound/eco-2.html
pmsr:/COM99ce671ab8b1d5b03,vstoi:Component,pmsr:/CSM959cc1176e717120e,Diagnostic Simulators Interaction Event Detector,pmsr:/CSM959cc1176e717120e,pmsr:/CBK1786054978465925000,pmsr:/INS1739287021517805,https://www.fda.gov/medical-devices/medical-device-databases/corrective-actions-electronic-products
pmsr:/COM98e23d9aee3a31b34,vstoi:Component,pmsr:/CSM99586654dea8a7e16,Diagnostic Simulators Airway Pressure Detector,pmsr:/CSM99586654dea8a7e16,pmsr:/CBK1786054978465925000,pmsr:/INS1739287021517805,https://www.fda.gov/medical-devices/medical-device-databases/corrective-actions-electronic-products
pmsr:/COM9ebbbd6c6cc5db4e8,vstoi:Component,pmsr:/CSM9acd6d76f97b32a6f,Diagnostic Simulators Pulse Rate Detector,pmsr:/CSM9acd6d76f97b32a6f,pmsr:/CBK1786054978465925000,pmsr:/INS1739287021517805,https://www.fda.gov/medical-devices/medical-device-databases/corrective-actions-electronic-products
pmsr:/COM944bc7b3889ae7afc,vstoi:Component,pmsr:/CSM92ba49139c757ed04,Diagnostic Ultrasound Probe Contact Detector,pmsr:/CSM92ba49139c757ed04,pmsr:/CBK1786054978465925000,pmsr:/INS1739288153666735,https://www.chison.com/b-w-ultrasound/eco-2.html
pmsr:/COM95c2d8ec9aa24be59,vstoi:Component,pmsr:/CSM9b8b5990a9bc16b7f,Ear Irrigation Simulator Interaction Event Detector,pmsr:/CSM9b8b5990a9bc16b7f,pmsr:/CBK1786054978465925000,pmsr:/INS1739404158691525,https://www.iso.org/standard/72704.html
pmsr:/COM903d04799844712c1,vstoi:Component,pmsr:/CSM93a294ba2fcd554b7,Ear Irrigation Simulator Airway Pressure Detector,pmsr:/CSM93a294ba2fcd554b7,pmsr:/CBK1786054978465925000,pmsr:/INS1739404158691525,https://www.iso.org/standard/72704.html
pmsr:/COM973ddb74c98cc4780,vstoi:Component,pmsr:/CSM9c17082de921f3bd7,Ear Irrigation Simulator Pulse Rate Detector,pmsr:/CSM9c17082de921f3bd7,pmsr:/CBK1786054978465925000,pmsr:/INS1739404158691525,https://www.iso.org/standard/72704.html
pmsr:/COM946fd9fa28a45e803,vstoi:Component,pmsr:/CSM9abb802bebfa6e73f,Extraoral Scanner Probe Contact Detector,pmsr:/CSM9abb802bebfa6e73f,pmsr:/CBK1786054978465925000,pmsr:/INS1739301133578555,https://support.3shape.com/
pmsr:/COM9065895571ef17d72,vstoi:Component,pmsr:/CSM949019081da4194fc,Female Genitalia Catherization Simulator Interaction Event Detector,pmsr:/CSM949019081da4194fc,pmsr:/CBK1786054978465925000,pmsr:/INS1739403188428355,https://www.nascohealthcare.com/
pmsr:/COM9f19a75cf5780097d,vstoi:Component,pmsr:/CSM976487c272f9a16da,Female Genitalia Catherization Simulator Airway Pressure Detector,pmsr:/CSM976487c272f9a16da,pmsr:/CBK1786054978465925000,pmsr:/INS1739403188428355,https://www.nascohealthcare.com/
pmsr:/COM9c6e0b6a8460da436,vstoi:Component,pmsr:/CSM994bdafe1fd135ba9,Female Genitalia Catherization Simulator Pulse Rate Detector,pmsr:/CSM994bdafe1fd135ba9,pmsr:/CBK1786054978465925000,pmsr:/INS1739403188428355,https://www.nascohealthcare.com/
pmsr:/COM93b37a890de624f15,vstoi:Component,pmsr:/CSM97ef6b9bafd907a3e,Female Genitalia Catherization Simulator Applied Force Detector,pmsr:/CSM97ef6b9bafd907a3e,pmsr:/CBK1786054978465925000,pmsr:/INS1739403188428355,https://www.nascohealthcare.com/
pmsr:/COM9bbfd874da2e490d6,vstoi:Component,pmsr:/CSM90d8bb8436b354767,Female Genitalia Catherization Simulator Venous Flashback Detector,pmsr:/CSM90d8bb8436b354767,pmsr:/CBK1786054978465925000,pmsr:/INS1739403188428355,https://www.nascohealthcare.com/
pmsr:/COM9b22734475671bff7,vstoi:Component,pmsr:/CSM9be63693a4d2de85d,Female Genitalia Catherization Simulator Procedure Completion Detector,pmsr:/CSM9be63693a4d2de85d,pmsr:/CBK1786054978465925000,pmsr:/INS1739403188428355,https://www.nascohealthcare.com/
pmsr:/COM94d3ff5f362cc035b,vstoi:Component,pmsr:/CSM91c78dbd4a4e327ad,Female Genitalia Catherization Simulator Ventilation Flow Detector,pmsr:/CSM91c78dbd4a4e327ad,pmsr:/CBK1786054978465925000,pmsr:/INS1739403188428355,https://www.nascohealthcare.com/
pmsr:/COM95b70346448215735,vstoi:Component,pmsr:/CSM9cbad38031c8a8953,Geriatic Care Simulator Interaction Event Detector,pmsr:/CSM9cbad38031c8a8953,pmsr:/CBK1786054978465925000,pmsr:/INS1739303195193785,https://www.iso.org/standard/72704.html
pmsr:/COM9412bfe70fbd8d8bc,vstoi:Component,pmsr:/CSM99a823c181f4f7de1,Geriatic Care Simulator Airway Pressure Detector,pmsr:/CSM99a823c181f4f7de1,pmsr:/CBK1786054978465925000,pmsr:/INS1739303195193785,https://www.iso.org/standard/72704.html
pmsr:/COM9a6c73bcd29d4344e,vstoi:Component,pmsr:/CSM9645ca857216205a0,Geriatic Care Simulator Pulse Rate Detector,pmsr:/CSM9645ca857216205a0,pmsr:/CBK1786054978465925000,pmsr:/INS1739303195193785,https://www.iso.org/standard/72704.html
pmsr:/COM94cb8d9390f7e95ef,vstoi:Component,pmsr:/CSM97509f0062fd1f406,Gynaecological Examination Mannequin Interaction Event Detector,pmsr:/CSM97509f0062fd1f406,pmsr:/CBK1786054978465925000,pmsr:/INS1739397556188145,https://laerdal.com/us/products/simulation-training/
pmsr:/COM95cb2c19f033fd086,vstoi:Component,pmsr:/CSM90bbc3d6d425d8b1b,Gynaecological Examination Mannequin Airway Pressure Detector,pmsr:/CSM90bbc3d6d425d8b1b,pmsr:/CBK1786054978465925000,pmsr:/INS1739397556188145,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9a53a6e7fef7f48cb,vstoi:Component,pmsr:/CSM9dfe1e8fa98846b5c,Gynaecological Examination Mannequin Pulse Rate Detector,pmsr:/CSM9dfe1e8fa98846b5c,pmsr:/CBK1786054978465925000,pmsr:/INS1739397556188145,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9ce929fda23c7e246,vstoi:Component,pmsr:/CSM93977c34f39b38c17,Gynaecological Examination Mannequin Applied Force Detector,pmsr:/CSM93977c34f39b38c17,pmsr:/CBK1786054978465925000,pmsr:/INS1739397556188145,https://laerdal.com/us/products/simulation-training/
pmsr:/COM916f797ebef7cb097,vstoi:Component,pmsr:/CSM9791272432f1f76a0,Gynaecological Examination Mannequin Venous Flashback Detector,pmsr:/CSM9791272432f1f76a0,pmsr:/CBK1786054978465925000,pmsr:/INS1739397556188145,https://laerdal.com/us/products/simulation-training/
pmsr:/COM910906a6c47d60667,vstoi:Component,pmsr:/CSM9a9fa37e49b581efa,Gynaecological Examination Mannequin Procedure Completion Detector,pmsr:/CSM9a9fa37e49b581efa,pmsr:/CBK1786054978465925000,pmsr:/INS1739397556188145,https://laerdal.com/us/products/simulation-training/
pmsr:/COM97e1b412645fe50a2,vstoi:Component,pmsr:/CSM914424e2ca6f23875,Gynaecological Examination Mannequin Ventilation Flow Detector,pmsr:/CSM914424e2ca6f23875,pmsr:/CBK1786054978465925000,pmsr:/INS1739397556188145,https://laerdal.com/us/products/simulation-training/
pmsr:/COM95611eb2ed74ee103,vstoi:Component,pmsr:/CSM9f7ed46ceb4229e18,High-Fidelity Mannequin Interaction Event Detector,pmsr:/CSM9f7ed46ceb4229e18,pmsr:/CBK1786054978465925000,pmsr:/INS1739287159797795,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9f42e00a4b3026528,vstoi:Component,pmsr:/CSM90d4988be27c71565,High-Fidelity Mannequin Airway Pressure Detector,pmsr:/CSM90d4988be27c71565,pmsr:/CBK1786054978465925000,pmsr:/INS1739287159797795,https://laerdal.com/us/products/simulation-training/
pmsr:/COM92177208ccc4e22b1,vstoi:Component,pmsr:/CSM9cacdf80013f26e29,High-Fidelity Mannequin Pulse Rate Detector,pmsr:/CSM9cacdf80013f26e29,pmsr:/CBK1786054978465925000,pmsr:/INS1739287159797795,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9137c395895688068,vstoi:Component,pmsr:/CSM9606dfb5a35237e48,High-Fidelity Mannequin Applied Force Detector,pmsr:/CSM9606dfb5a35237e48,pmsr:/CBK1786054978465925000,pmsr:/INS1739287159797795,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9627985a5056f2d15,vstoi:Component,pmsr:/CSM98c7aba34e5be7709,High-Fidelity Mannequin Venous Flashback Detector,pmsr:/CSM98c7aba34e5be7709,pmsr:/CBK1786054978465925000,pmsr:/INS1739287159797795,https://laerdal.com/us/products/simulation-training/
pmsr:/COM94748f0031a7167ca,vstoi:Component,pmsr:/CSM94b01ffb43fb6d533,High-Fidelity Mannequin Procedure Completion Detector,pmsr:/CSM94b01ffb43fb6d533,pmsr:/CBK1786054978465925000,pmsr:/INS1739287159797795,https://laerdal.com/us/products/simulation-training/
pmsr:/COM91aa7b31291992fbb,vstoi:Component,pmsr:/CSM93b670eb872389131,High-Fidelity Mannequin Ventilation Flow Detector,pmsr:/CSM93b670eb872389131,pmsr:/CBK1786054978465925000,pmsr:/INS1739287159797795,https://laerdal.com/us/products/simulation-training/
pmsr:/COM98e6dd5fe87530d91,vstoi:Component,pmsr:/CSM928cf00be99515fd6,Imaging Probe Contact Detector,pmsr:/CSM928cf00be99515fd6,pmsr:/CBK1786054978465925000,pmsr:/INS1739300958884615,https://www.chison.com/products/
pmsr:/COM9751786e7c40b255c,vstoi:Component,pmsr:/CSM9aee9cbc3472181e4,Intramuscular Injections Simulator Interaction Event Detector,pmsr:/CSM9aee9cbc3472181e4,pmsr:/CBK1786054978465925000,pmsr:/INS1739404046114785,https://www.iso.org/standard/72704.html
pmsr:/COM9e562f8ab987b7036,vstoi:Component,pmsr:/CSM9eb559da4ff377d1f,Intramuscular Injections Simulator Airway Pressure Detector,pmsr:/CSM9eb559da4ff377d1f,pmsr:/CBK1786054978465925000,pmsr:/INS1739404046114785,https://www.iso.org/standard/72704.html
pmsr:/COM94a6c2220e9625fb7,vstoi:Component,pmsr:/CSM938613baf26581c7c,Intramuscular Injections Simulator Pulse Rate Detector,pmsr:/CSM938613baf26581c7c,pmsr:/CBK1786054978465925000,pmsr:/INS1739404046114785,https://www.iso.org/standard/72704.html
pmsr:/COM90822bb607c2cfa3b,vstoi:Component,pmsr:/CSM9b333dd31966be4b4,Intramuscular Injections Simulator Applied Force Detector,pmsr:/CSM9b333dd31966be4b4,pmsr:/CBK1786054978465925000,pmsr:/INS1739404046114785,https://www.iso.org/standard/72704.html
pmsr:/COM99b9afcf37be17507,vstoi:Component,pmsr:/CSM98c93075db7016ddb,Intramuscular Injections Simulator Venous Flashback Detector,pmsr:/CSM98c93075db7016ddb,pmsr:/CBK1786054978465925000,pmsr:/INS1739404046114785,https://www.iso.org/standard/72704.html
pmsr:/COM901ebb687541101a6,vstoi:Component,pmsr:/CSM99cf2b1dc559be6ee,Intramuscular Injections Simulator Procedure Completion Detector,pmsr:/CSM99cf2b1dc559be6ee,pmsr:/CBK1786054978465925000,pmsr:/INS1739404046114785,https://www.iso.org/standard/72704.html
pmsr:/COM92e6bf51ccc1c28ab,vstoi:Component,pmsr:/CSM9dfdfed4bb1be7a1b,Intramuscular Injections Simulator Ventilation Flow Detector,pmsr:/CSM9dfdfed4bb1be7a1b,pmsr:/CBK1786054978465925000,pmsr:/INS1739404046114785,https://www.iso.org/standard/72704.html
pmsr:/COM9c0dfd3041e7d14c1,vstoi:Component,pmsr:/CSM9ad565cbb6b63799b,Intraoral Scanner Probe Contact Detector,pmsr:/CSM9ad565cbb6b63799b,pmsr:/CBK1786054978465925000,pmsr:/INS1739301081410085,https://support.3shape.com/
pmsr:/COM9727fb50145c10e09,vstoi:Component,pmsr:/CSM9bf1a4781a6d647a0,IV Fluid Administration Interaction Event Detector,pmsr:/CSM9bf1a4781a6d647a0,pmsr:/CBK1786054978465925000,pmsr:/INS1739402037946315,https://limbsandthings.com/us/support/
pmsr:/COM9ab325b780c153c16,vstoi:Component,pmsr:/CSM92892a1cff1cd3b32,IV Fluid Administration Airway Pressure Detector,pmsr:/CSM92892a1cff1cd3b32,pmsr:/CBK1786054978465925000,pmsr:/INS1739402037946315,https://limbsandthings.com/us/support/
pmsr:/COM9a6077a472e113288,vstoi:Component,pmsr:/CSM93fd09db7cb896ac0,IV Fluid Administration Pulse Rate Detector,pmsr:/CSM93fd09db7cb896ac0,pmsr:/CBK1786054978465925000,pmsr:/INS1739402037946315,https://limbsandthings.com/us/support/
pmsr:/COM97456cbdbfef891b2,vstoi:Component,pmsr:/CSM9e8674cf2e7fa5220,Laerdal Airway Simulator Airway Pressure Detector,pmsr:/CSM9e8674cf2e7fa5220,pmsr:/CBK1786054978465925000,pmsr:/INS1739398519577895,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9780cb5aee628174d,vstoi:Component,pmsr:/CSM9e8fe63646daa95de,Laerdal Airway Simulator Pulse Rate Detector,pmsr:/CSM9e8fe63646daa95de,pmsr:/CBK1786054978465925000,pmsr:/INS1739398519577895,https://laerdal.com/us/products/simulation-training/
pmsr:/COM98ff71c8a531dc60e,vstoi:Component,pmsr:/CSM94ebae35a247b51a4,Laerdal Airway Simulator Applied Force Detector,pmsr:/CSM94ebae35a247b51a4,pmsr:/CBK1786054978465925000,pmsr:/INS1739398519577895,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9475a47f065f91166,vstoi:Component,pmsr:/CSM980029c127592d21b,Laerdal ALS Baby Trainer 200 Interaction Event Detector,pmsr:/CSM980029c127592d21b,pmsr:/CBK1786054978465925000,pmsr:/INS1739487989328225,https://laerdal.com/us/products/simulation-training/
pmsr:/COM99add3c0cd3806f60,vstoi:Component,pmsr:/CSM9e0b6f7bc85843494,Laerdal ALS Baby Trainer 200 Airway Pressure Detector,pmsr:/CSM9e0b6f7bc85843494,pmsr:/CBK1786054978465925000,pmsr:/INS1739487989328225,https://laerdal.com/us/products/simulation-training/
pmsr:/COM903c774adb6c5edb0,vstoi:Component,pmsr:/CSM9c4da8f90d6ea756c,Laerdal ALS Baby Trainer 200 Pulse Rate Detector,pmsr:/CSM9c4da8f90d6ea756c,pmsr:/CBK1786054978465925000,pmsr:/INS1739487989328225,https://laerdal.com/us/products/simulation-training/
pmsr:/COM91c68e5a9e69bc020,vstoi:Component,pmsr:/CSM9fb7ba86cf67ea5dc,Laerdal DAE Simulator Pulse Rate Detector,pmsr:/CSM9fb7ba86cf67ea5dc,pmsr:/CBK1786054978465925000,pmsr:/INS1739392367425715,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9b34b00c7bcc86ee0,vstoi:Component,pmsr:/CSM9ef673dff665df409,Laerdal DAE Simulator Airway Pressure Detector,pmsr:/CSM9ef673dff665df409,pmsr:/CBK1786054978465925000,pmsr:/INS1739392367425715,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9cbabaa9118f43beb,vstoi:Component,pmsr:/CSM9c2113835d438aee5,Laerdal DAE Simulator Applied Force Detector,pmsr:/CSM9c2113835d438aee5,pmsr:/CBK1786054978465925000,pmsr:/INS1739392367425715,https://laerdal.com/us/products/simulation-training/
pmsr:/COM99b3a72b8d17baa57,vstoi:Component,pmsr:/CSM91cc8dd9fe070231c,Laerdal Nursing Anne Mannequin Interaction Event Detector,pmsr:/CSM91cc8dd9fe070231c,pmsr:/CBK1786054978465925000,pmsr:/INS1739823398493725,https://laerdal.com/us/products/simulation-training/
pmsr:/COM931d6340657316a0e,vstoi:Component,pmsr:/CSM9add0352cfe599c69,Laerdal Nursing Anne Mannequin Airway Pressure Detector,pmsr:/CSM9add0352cfe599c69,pmsr:/CBK1786054978465925000,pmsr:/INS1739823398493725,https://laerdal.com/us/products/simulation-training/
pmsr:/COM9ccf75d269b2b6120,vstoi:Component,pmsr:/CSM904112859831dadbf,Laerdal Nursing Anne Mannequin Pulse Rate Detector,pmsr:/CSM904112859831dadbf,pmsr:/CBK1786054978465925000,pmsr:/INS1739823398493725,https://laerdal.com/us/products/simulation-training/
