priority_band,priority_score,codebook_uri,codebook_label,response_uri,response_label,semantic_domain,proposed_map_type,current_status,required_action,release_target
P1,7,pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,pmsr:/ROP1786055194373701000,Moderate,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,pmsr:/ROP1786055194373705000,Prolonged,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,pmsr:/ROP1786055194373698000,Short,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1738239681967443,Pulse Bulb Response,pmsr:/ROP1738240077172043,Pressure Applied,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1738239681967443,Pulse Bulb Response,pmsr:/ROP1738240106626233,Pressure Not Applied,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1738098997597015,Pulse Detection,pmsr:/ROP1738099044174655,Detected,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1738098997597015,Pulse Detection,pmsr:/ROP1738099077224615,Not Detected,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1740097825927975,Pupil Simulator Size,pmsr:/ROP1786056052971735000,Constricted,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1740097825927975,Pupil Simulator Size,pmsr:/ROP1786056052971742000,Dilated,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1740097825927975,Pupil Simulator Size,pmsr:/ROP1786055194373686000,Normal,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P3,3,pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,pmsr:/ROP1786055194373649000,No Prompt,mixed-or-unknown,EXACT_CANDIDATE,needs_terminology_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,3,pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,pmsr:/ROP1786055194373652000,Prepare Shock,mixed-or-unknown,EXACT_CANDIDATE,needs_terminology_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,3,pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,pmsr:/ROP1786055194373656000,Shock Delivered,mixed-or-unknown,EXACT_CANDIDATE,needs_terminology_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,3,pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,pmsr:/ROP1786055194373618000,Critical Alert,device-operational,EXACT_CANDIDATE,needs_terminology_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,3,pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,pmsr:/ROP1786055194373605000,No Alert,device-operational,EXACT_CANDIDATE,needs_terminology_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,3,pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,pmsr:/ROP1786055194373612000,Warning,device-operational,EXACT_CANDIDATE,needs_terminology_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786054978465927000,Actuator State Codebook,pmsr:/ROP1786054978465918000,Off,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786054978465927000,Actuator State Codebook,pmsr:/ROP1786054978465920000,On,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786054978465927000,Actuator State Codebook,pmsr:/ROP1786054978465922000,Standby,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738190767525383,CB,pmsr:/ROP1786056052971696000,State 1,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738190767525383,CB,pmsr:/ROP1786056052971699000,State 2,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738190767525383,CB,pmsr:/ROP1786056052971701000,State 3,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738190767525383,CB,pmsr:/ROP1786056052971703000,State 4,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738096258564815,Chest Inflator Responses,pmsr:/ROP1738095646552695,Chest Deflated,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738096258564815,Chest Inflator Responses,pmsr:/ROP1738095538691005,Chest Inflated,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786054978465925000,Detector State Codebook,pmsr:/ROP1786054978465904000,Detected,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786054978465925000,Detector State Codebook,pmsr:/ROP1786054978465911000,Not Detected,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786054978465925000,Detector State Codebook,pmsr:/ROP1786054978465915000,Unknown,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738186252574965,Eletrodes Adult Responses,pmsr:/ROP1786056052971709000,Attached,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738186252574965,Eletrodes Adult Responses,pmsr:/ROP1786056052971706000,Detached,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738187728844755,Eletrodes Pediatric Responses,pmsr:/ROP1786056052971709000,Attached,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738187728844755,Eletrodes Pediatric Responses,pmsr:/ROP1786056052971706000,Detached,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1740091832821965,IV Access Locations,pmsr:/ROP1740092924252535,Median Antecubital/Cephalic/Basilic Veins,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373672000,IV Access Status Codebook,pmsr:/ROP1786055194373680000,Compromised Access,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373672000,IV Access Status Codebook,pmsr:/ROP1786055194373673000,Not Started,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373672000,IV Access Status Codebook,pmsr:/ROP1786055194373677000,Successful Access,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,pmsr:/ROP1786055194373668000,Clear Signal,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,pmsr:/ROP1786055194373664000,Low Signal,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,pmsr:/ROP1786055194373661000,Muted,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738148623334734,PASS and FAIL,pmsr:/ROP1738148709128504,Fail,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738148623334734,PASS and FAIL,pmsr:/ROP1738148696123634,Pass,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373636000,SimPad Mode Codebook,pmsr:/ROP1786055194373644000,Paused,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373636000,SimPad Mode Codebook,pmsr:/ROP1786055194373641000,Scenario Running,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373636000,SimPad Mode Codebook,pmsr:/ROP1786055194373637000,Setup,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,pmsr:/ROP1786055194373632000,Feedback Complete,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,pmsr:/ROP1786055194373628000,Guidance Active,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,pmsr:/ROP1786055194373625000,Inactive,device-operational,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,pmsr:/ROP1786055194373720000,No Change,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,pmsr:/ROP1786055194373724000,Noticeable Increase,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,pmsr:/ROP1786055194373728000,Pronounced Increase,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738096048734595,Stomach Inflator Responses,pmsr:/ROP1738095892998425,Stoma Deflated,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1738096048734595,Stomach Inflator Responses,pmsr:/ROP1738095777366775,Stoma Inflated,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,pmsr:/ROP1786055194373736000,Expected Depth,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,pmsr:/ROP1786055194373733000,Superficial,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
P3,1,pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,pmsr:/ROP1786055194373740000,Too Deep,mixed-or-unknown,LOCAL_OPERATIONAL,needs_data_governance_review,Decide SNOMED vs local-only governance,v0.4-curated
