slot_uri,codebook_uri,codebook_label,codebook_webdoc,response_uri,response_label,response_row,response_comment,response_webdoc,slot_priority
pmsr:/CBK1738239681967443/CBS/1,pmsr:/CBK1738239681967443,Pulse Bulb Response,,pmsr:/ROP1738240077172043,ROP1738240077172043,18,Pressao Aplicada,,1
pmsr:/CBK1738239681967443/CBS/2,pmsr:/CBK1738239681967443,Pulse Bulb Response,,pmsr:/ROP1738240106626233,ROP1738240106626233,19,Pressao Nao Aplicada,,2
pmsr:/CBK1738098997597015/CBS/1,pmsr:/CBK1738098997597015,Pulse Detection,,pmsr:/ROP1738099044174655,ROP1738099044174655,20,Pulse has been detected,,1
pmsr:/CBK1738098997597015/CBS/2,pmsr:/CBK1738098997597015,Pulse Detection,,pmsr:/ROP1738099077224615,ROP1738099077224615,21,Pulse has not been detected,,2
pmsr:/CBK1740097825927975/CBS/1,pmsr:/CBK1740097825927975,Pupil Simulator Size,,pmsr:/ROP1786056052971735000,Constricted,73,Auto-created while populating empty codebook from corpus remediation pass.,,1
pmsr:/CBK1740097825927975/CBS/2,pmsr:/CBK1740097825927975,Pupil Simulator Size,,pmsr:/ROP1786055194373686000,Normal,49,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1740097825927975/CBS/3,pmsr:/CBK1740097825927975,Pupil Simulator Size,,pmsr:/ROP1786056052971742000,Dilated,74,Auto-created while populating empty codebook from corpus remediation pass.,,3
pmsr:/CBK1786055194373597000/CBS/1,pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,,pmsr:/ROP1786055194373605000,No Alert,31,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373597000/CBS/2,pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,,pmsr:/ROP1786055194373612000,Warning,32,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373597000/CBS/3,pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,,pmsr:/ROP1786055194373618000,Critical Alert,33,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1786055194373636000/CBS/1,pmsr:/CBK1786055194373636000,SimPad Mode Codebook,,pmsr:/ROP1786055194373637000,Setup,37,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373636000/CBS/2,pmsr:/CBK1786055194373636000,SimPad Mode Codebook,,pmsr:/ROP1786055194373641000,Scenario Running,38,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373636000/CBS/3,pmsr:/CBK1786055194373636000,SimPad Mode Codebook,,pmsr:/ROP1786055194373644000,Paused,39,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1786055194373623000/CBS/1,pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,,pmsr:/ROP1786055194373625000,Inactive,34,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373623000/CBS/2,pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,,pmsr:/ROP1786055194373628000,Guidance Active,35,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373623000/CBS/3,pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,,pmsr:/ROP1786055194373632000,Feedback Complete,36,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1786055194373719000/CBS/1,pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,,pmsr:/ROP1786055194373720000,No Change,57,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373719000/CBS/2,pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,,pmsr:/ROP1786055194373724000,Noticeable Increase,58,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373719000/CBS/3,pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,,pmsr:/ROP1786055194373728000,Pronounced Increase,59,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1738096048734595/CBS/1,pmsr:/CBK1738096048734595,Stomach Inflator Responses,,pmsr:/ROP1738095892998425,ROP1738095892998425,23,"The portion representing the Stoma, in the mannequin, appears to be deflated.",,1
pmsr:/CBK1738096048734595/CBS/2,pmsr:/CBK1738096048734595,Stomach Inflator Responses,,pmsr:/ROP1738095777366775,ROP1738095777366775,24,"The portion representing the Stoma, in the mannequin, appears to be inflated.",,2
pmsr:/CBK1786055194373731000/CBS/1,pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,,pmsr:/ROP1786055194373733000,Superficial,60,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373731000/CBS/2,pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,,pmsr:/ROP1786055194373736000,Expected Depth,61,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373731000/CBS/3,pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,,pmsr:/ROP1786055194373740000,Too Deep,62,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
