instrument_uri,instrument_label,mode_hasco_type,component_uri,component_label,component_kind,has_doc_evidence,doc_family,primary_doc_url,secondary_doc_url,status
pmsr:/INS1739287640585765,Rectal Examination Simulator,vstoi:Instrument,pmsr:/COM1786054978467155000,Rectal Examination Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739287640585765,Rectal Examination Simulator,vstoi:Instrument,pmsr:/COM1786054978467160000,Rectal Examination Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739288006994165,Diagnostic Imaging Simulator,vstoi:Instrument,pmsr:/COM1786054978466360000,Diagnostic Imaging Simulator Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288006994165,Diagnostic Imaging Simulator,vstoi:Instrument,pmsr:/COM1786054978466364000,Diagnostic Imaging Simulator Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288153666735,Diagnostic Ultrasound,vstoi:Instrument,pmsr:/COM1786054978466392000,Diagnostic Ultrasound Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288153666735,Diagnostic Ultrasound,vstoi:Instrument,pmsr:/COM1786054978466395000,Diagnostic Ultrasound Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288297796655,Vascular Access Ultrasound Simulator,vstoi:Instrument,pmsr:/COM1786054978467435000,Vascular Access Ultrasound Simulator Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288297796655,Vascular Access Ultrasound Simulator,vstoi:Instrument,pmsr:/COM1786054978467440000,Vascular Access Ultrasound Simulator Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288428472235,Ultrasound,vstoi:Instrument,pmsr:/COM1786054978467339000,Ultrasound Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288428472235,Ultrasound,vstoi:Instrument,pmsr:/COM1786054978467343000,Ultrasound Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288499528465,Chison Cbit-9 Stationary Ultrasound,vstoi:Instrument,pmsr:/COM1786054978466328000,Chison Cbit-9 Stationary Ultrasound Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288499528465,Chison Cbit-9 Stationary Ultrasound,vstoi:Instrument,pmsr:/COM1786054978466332000,Chison Cbit-9 Stationary Ultrasound Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288566447555,Portable Ultrasound,vstoi:Instrument,pmsr:/COM1786054978467089000,Portable Ultrasound Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288566447555,Portable Ultrasound,vstoi:Instrument,pmsr:/COM1786054978467094000,Portable Ultrasound Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288625580975,Butterfly IQ+,vstoi:Instrument,pmsr:/COM1786054978466222000,Butterfly IQ+ Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288625580975,Butterfly IQ+,vstoi:Instrument,pmsr:/COM1786054978466225000,Butterfly IQ+ Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,vstoi:Instrument,pmsr:/COM1786054978466236000,Butterfly Ultrasound Probes Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,vstoi:Instrument,pmsr:/COM1786054978466241000,Butterfly Ultrasound Probes Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739300958884615,Imaging,vstoi:Instrument,pmsr:/COM1786054978466531000,Imaging Detector,detector,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739300958884615,Imaging,vstoi:Instrument,pmsr:/COM1786054978466538000,Imaging Actuator,actuator,yes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/INS1739301009974715,ARTEC LEO Scanner,vstoi:Instrument,pmsr:/COM1786054978466045000,ARTEC LEO Scanner Detector,detector,yes,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/INS1739301009974715,ARTEC LEO Scanner,vstoi:Instrument,pmsr:/COM1786054978466052000,ARTEC LEO Scanner Actuator,actuator,yes,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/INS1739301081410085,Intraoral Scanner,vstoi:Instrument,pmsr:/COM1786054978466570000,Intraoral Scanner Detector,detector,yes,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/INS1739301081410085,Intraoral Scanner,vstoi:Instrument,pmsr:/COM1786054978466575000,Intraoral Scanner Actuator,actuator,yes,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/INS1739301133578555,Extraoral Scanner,vstoi:Instrument,pmsr:/COM1786054978466425000,Extraoral Scanner Detector,detector,yes,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/INS1739301133578555,Extraoral Scanner,vstoi:Instrument,pmsr:/COM1786054978466429000,Extraoral Scanner Actuator,actuator,yes,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/INS1739301189412025,CAD-CAM System,vstoi:Instrument,pmsr:/COM1786054978466252000,CAD-CAM System Detector,detector,yes,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/INS1739301189412025,CAD-CAM System,vstoi:Instrument,pmsr:/COM1786054978466256000,CAD-CAM System Actuator,actuator,yes,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/INS1739301317613705,Automated External Defibrilator,vstoi:Instrument,pmsr:/COM1786054978466180000,Automated External Defibrilator Detector,detector,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739301317613705,Automated External Defibrilator,vstoi:Instrument,pmsr:/COM1786054978466184000,Automated External Defibrilator Actuator,actuator,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739301711235865,Care Simulators,vstoi:Instrument,pmsr:/COM1786054978466312000,Care Simulators Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739301711235865,Care Simulators,vstoi:Instrument,pmsr:/COM1786054978466316000,Care Simulators Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739301814401805,Medical Procedure Simulator,vstoi:Instrument,pmsr:/COM1786054978466833000,Medical Procedure Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739301814401805,Medical Procedure Simulator,vstoi:Instrument,pmsr:/COM1786054978466838000,Medical Procedure Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739301891301765,Suture Simulator,vstoi:Instrument,pmsr:/COM1786054978467316000,Suture Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739301891301765,Suture Simulator,vstoi:Instrument,pmsr:/COM1786054978467320000,Suture Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739302175458785,Vascular Access Simulator,vstoi:Instrument,pmsr:/COM1786054978467411000,Vascular Access Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739302175458785,Vascular Access Simulator,vstoi:Instrument,pmsr:/COM1786054978467416000,Vascular Access Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739303008518495,Ventilator Care Simulator,vstoi:Instrument,pmsr:/COM1786054978467459000,Ventilator Care Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739303008518495,Ventilator Care Simulator,vstoi:Instrument,pmsr:/COM1786054978467464000,Ventilator Care Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739303195193785,Geriatic Care Simulator,vstoi:Instrument,pmsr:/COM1786054978466460000,Geriatic Care Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739303195193785,Geriatic Care Simulator,vstoi:Instrument,pmsr:/COM1786054978466464000,Geriatic Care Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739303333850795,Oncology Care Simulator,vstoi:Instrument,pmsr:/COM1786054978466920000,Oncology Care Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739303333850795,Oncology Care Simulator,vstoi:Instrument,pmsr:/COM1786054978466925000,Oncology Care Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739392122823235,Procedure Simulator,vstoi:Instrument,pmsr:/COM1786054978467110000,Procedure Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739392122823235,Procedure Simulator,vstoi:Instrument,pmsr:/COM1786054978467116000,Procedure Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,vstoi:Instrument,pmsr:/COM1786054978466297000,Cardiac Procedure Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,vstoi:Instrument,pmsr:/COM1786054978466301000,Cardiac Procedure Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739392275798255,ResusciAnne DAE Simulator,vstoi:Instrument,pmsr:/COM1786054978467199000,ResusciAnne DAE Simulator Detector,detector,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739392275798255,ResusciAnne DAE Simulator,vstoi:Instrument,pmsr:/COM1786054978467204000,ResusciAnne DAE Simulator Actuator,actuator,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739392367425715,Laerdal DAE Simulator,vstoi:Instrument,pmsr:/COM1786054978466628000,Laerdal DAE Simulator Detector,detector,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739392367425715,Laerdal DAE Simulator,vstoi:Instrument,pmsr:/COM1786054978466632000,Laerdal DAE Simulator Actuator,actuator,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739397137461495,Low-Fidelity Mannequin,vstoi:Instrument,pmsr:/COM1786054978466706000,Low-Fidelity Mannequin Detector,detector,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739397137461495,Low-Fidelity Mannequin,vstoi:Instrument,pmsr:/COM1786054978466711000,Low-Fidelity Mannequin Actuator,actuator,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,vstoi:Instrument,pmsr:/COM1786054978466477000,Gynaecological Examination Mannequin Detector,detector,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,vstoi:Instrument,pmsr:/COM1786054978466482000,Gynaecological Examination Mannequin Actuator,actuator,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739398437257165,Airway Simulator,vstoi:Instrument,pmsr:/COM1786054978466068000,Airway Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739398437257165,Airway Simulator,vstoi:Instrument,pmsr:/COM1786054978466074000,Airway Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739398519577895,Laerdal Airway Simulator,vstoi:Instrument,pmsr:/COM1786054978466608000,Laerdal Airway Simulator Detector,detector,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739398519577895,Laerdal Airway Simulator,vstoi:Instrument,pmsr:/COM1786054978466614000,Laerdal Airway Simulator Actuator,actuator,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739400689838665,Nursing Care Simulator,vstoi:Instrument,pmsr:/COM1786054978466875000,Nursing Care Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739400689838665,Nursing Care Simulator,vstoi:Instrument,pmsr:/COM1786054978466881000,Nursing Care Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739401557396065,Laerdal Nursing Care Simulator,vstoi:Instrument,pmsr:/COM1786054978466684000,Laerdal Nursing Care Simulator Detector,detector,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739401557396065,Laerdal Nursing Care Simulator,vstoi:Instrument,pmsr:/COM1786054978466690000,Laerdal Nursing Care Simulator Actuator,actuator,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739401657491675,Urine Bag Maintenance Simulator,vstoi:Instrument,pmsr:/COM1786054978467363000,Urine Bag Maintenance Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739401657491675,Urine Bag Maintenance Simulator,vstoi:Instrument,pmsr:/COM1786054978467367000,Urine Bag Maintenance Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739401836683455,Stomach Bag Maintenance Simulator,vstoi:Instrument,pmsr:/COM1786054978467291000,Stomach Bag Maintenance Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739401836683455,Stomach Bag Maintenance Simulator,vstoi:Instrument,pmsr:/COM1786054978467297000,Stomach Bag Maintenance Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739402037946315,IV Fluid Administration,vstoi:Instrument,pmsr:/COM1786054978466513000,IV Fluid Administration Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739402037946315,IV Fluid Administration,vstoi:Instrument,pmsr:/COM1786054978466517000,IV Fluid Administration Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,vstoi:Instrument,pmsr:/COM1786054978466194000,Blood Pressure Measurement Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,vstoi:Instrument,pmsr:/COM1786054978466198000,Blood Pressure Measurement Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739402477829135,Rectal Medicine Administration Simulator,vstoi:Instrument,pmsr:/COM1786054978467177000,Rectal Medicine Administration Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739402477829135,Rectal Medicine Administration Simulator,vstoi:Instrument,pmsr:/COM1786054978467182000,Rectal Medicine Administration Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739402585415785,Vaginal Medicine Administration Simulator,vstoi:Instrument,pmsr:/COM1786054978467387000,Vaginal Medicine Administration Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739402585415785,Vaginal Medicine Administration Simulator,vstoi:Instrument,pmsr:/COM1786054978467392000,Vaginal Medicine Administration Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739403078441215,Male Genitalia Catherization Simulator,vstoi:Instrument,pmsr:/COM1786054978466746000,Male Genitalia Catherization Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739403078441215,Male Genitalia Catherization Simulator,vstoi:Instrument,pmsr:/COM1786054978466752000,Male Genitalia Catherization Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739403188428355,Female Genitalia Catherization Simulator,vstoi:Instrument,pmsr:/COM1786054978466443000,Female Genitalia Catherization Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739403188428355,Female Genitalia Catherization Simulator,vstoi:Instrument,pmsr:/COM1786054978466447000,Female Genitalia Catherization Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739403291912375,Penis Foreskin Cleaning Simulator,vstoi:Instrument,pmsr:/COM1786054978466971000,Penis Foreskin Cleaning Simulator Detector,detector,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739403291912375,Penis Foreskin Cleaning Simulator,vstoi:Instrument,pmsr:/COM1786054978466976000,Penis Foreskin Cleaning Simulator Actuator,actuator,yes,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/INS1739404046114785,Intramuscular Injections Simulator,vstoi:Instrument,pmsr:/COM1786054978466552000,Intramuscular Injections Simulator Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739404046114785,Intramuscular Injections Simulator,vstoi:Instrument,pmsr:/COM1786054978466557000,Intramuscular Injections Simulator Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
