instrument_uri,instrument_label,mode_hasco_type,total_components,detectors,actuators,other,components_with_doc_evidence,components_without_doc_evidence
pmsr:/INS1739398519577895,Laerdal Airway Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739400689838665,Nursing Care Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739401557396065,Laerdal Nursing Care Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739401657491675,Urine Bag Maintenance Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739401836683455,Stomach Bag Maintenance Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739402037946315,IV Fluid Administration,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739402477829135,Rectal Medicine Administration Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739402585415785,Vaginal Medicine Administration Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739403078441215,Male Genitalia Catherization Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739403188428355,Female Genitalia Catherization Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739403291912375,Penis Foreskin Cleaning Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739404046114785,Intramuscular Injections Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739404158691525,Ear Irrigation Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739451831725785,Virtual Patient Anatomy Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739452063713965,Anatomage Table Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739452783104705,Skin Care Procedure Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739452868256965,SimSleeves Lymphedema Simulator,vstoi:Instrument,3,1,1,1,3,0
pmsr:/INS1739453043505715,Pitting Edema Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739482671461295,Prostate Model,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739483351917145,Male Inguinal Hernia Anatomy Model,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739487989328225,Laerdal ALS Baby Trainer 200,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739488340413085,Virtual Patient Interaction Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739819116467195,Anatomage Large Table,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739819599670195,Anatomage Small Tablet,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739819782231595,Anatomage Clinical Table,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739819868350395,Anatomage Vet Table,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739819955334025,Anatomage Science Table,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739820624939265,Cancer Patient Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739821032633525,Monitoring Virtual Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,vstoi:Instrument,8,1,1,6,8,0
pmsr:/INS1739878730369725,Body Interact Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739878788687655,Sophia Body Interact AI Assistant,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739879206550705,Cancer Patient Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1740087239872215,Physiology Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1740087575777435,Patient Monitor Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1740143777940835,Male Examination Mannequin,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1740143878244085,Obstetric Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:PhysicalMedicalDevice,Physical Medical Device,vstoi:Instrument,2,1,1,0,2,0
pmsr:PhysicalMedicalSimulator,Physical Medical Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:VirtualMedicalSimulator,Virtual Medical Simulator,vstoi:Instrument,2,1,1,0,2,0
