instrument_uri,instrument_label,fidelity,doc_family,threshold_category,threshold_detector_min,threshold_detector_max,detectors_modeled,actuators_modeled,other_components_modeled,total_components_modeled,threshold_status,detector_gap_to_min,current_detector_domains,all_component_domains,proposed_domains_of_concern,components_by_domain
pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,high,Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Butterfly Ultrasound Probes Actuator,Butterfly Ultrasound Probes Detector"
pmsr:/INS1739301189412025,CAD-CAM System,low,Dental and Oral Scanning Systems,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"GENERAL_SIMULATION_OTHER:CAD-CAM System Actuator,CAD-CAM System Detector"
pmsr:/INS1739820624939265,Cancer Patient Simulator,medium,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Cancer Patient Simulator Actuator,Cancer Patient Simulator Detector"
pmsr:/INS1739879206550705,Cancer Patient Simulator,medium,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Cancer Patient Simulator Actuator [INS1739879206550705],Cancer Patient Simulator Detector [INS1739879206550705]"
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,(blank),General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,CARDIOVASCULAR_HEMODYNAMIC,CARDIOVASCULAR_HEMODYNAMIC,CARDIOVASCULAR_HEMODYNAMIC | AIRWAY_RESPIRATORY | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"CARDIOVASCULAR_HEMODYNAMIC:Cardiac Procedure Simulator Actuator,Cardiac Procedure Simulator Detector"
pmsr:/INS1739301711235865,Care Simulators,(blank),General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Care Simulators Actuator,Care Simulators Detector"
pmsr:/INS1739288499528465,Chison Cbit-9 Stationary Ultrasound,medium,Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Chison Cbit-9 Stationary Ultrasound Actuator,Chison Cbit-9 Stationary Ultrasound Detector"
pmsr:/INS1739287212610855,Dani Model,high,General Medical Device Governance,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,SOFTWARE_WORKFLOW_STATE,SOFTWARE_WORKFLOW_STATE,SOFTWARE_WORKFLOW_STATE | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"SOFTWARE_WORKFLOW_STATE:Dani Model Actuator,Dani Model Detector"
pmsr:/INS1739288006994165,Diagnostic Imaging Simulator,(blank),Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Diagnostic Imaging Simulator Actuator,Diagnostic Imaging Simulator Detector"
pmsr:/INS1739287021517805,Diagnostic Simulators,(blank),General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Diagnostic Simulators Actuator,Diagnostic Simulators Detector"
pmsr:/INS1739288153666735,Diagnostic Ultrasound,(blank),Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Diagnostic Ultrasound Actuator,Diagnostic Ultrasound Detector"
pmsr:/INS1739404158691525,Ear Irrigation Simulator,medium,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Ear Irrigation Simulator Actuator,Ear Irrigation Simulator Detector"
pmsr:/INS1739301133578555,Extraoral Scanner,low,Dental and Oral Scanning Systems,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Extraoral Scanner Actuator,Extraoral Scanner Detector"
pmsr:/INS1739403188428355,Female Genitalia Catherization Simulator,high,Procedure Trainers and Skills Simulators,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Female Genitalia Catherization Simulator Actuator,Female Genitalia Catherization Simulator Detector"
pmsr:/INS1739303195193785,Geriatic Care Simulator,medium,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Geriatic Care Simulator Actuator,Geriatic Care Simulator Detector"
pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,high,Resuscitation and Mannequin Platforms,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Gynaecological Examination Mannequin Actuator,Gynaecological Examination Mannequin Detector"
pmsr:/INS1739287159797795,High-Fidelity Mannequin,high,Resuscitation and Mannequin Platforms,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:High-Fidelity Mannequin Actuator,High-Fidelity Mannequin Detector"
pmsr:/INS1739300958884615,Imaging,(blank),Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Imaging Actuator,Imaging Detector"
pmsr:/INS1739404046114785,Intramuscular Injections Simulator,high,General Medical Device Governance,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Intramuscular Injections Simulator Actuator,Intramuscular Injections Simulator Detector"
pmsr:/INS1739301081410085,Intraoral Scanner,medium,Dental and Oral Scanning Systems,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Intraoral Scanner Actuator,Intraoral Scanner Detector"
pmsr:/INS1739402037946315,IV Fluid Administration,medium,Procedure Trainers and Skills Simulators,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:IV Fluid Administration Actuator,IV Fluid Administration Detector"
pmsr:/INS1739398519577895,Laerdal Airway Simulator,medium,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,AIRWAY_RESPIRATORY,AIRWAY_RESPIRATORY,AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"AIRWAY_RESPIRATORY:Laerdal Airway Simulator Actuator,Laerdal Airway Simulator Detector"
pmsr:/INS1739487989328225,Laerdal ALS Baby Trainer 200,medium,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Laerdal ALS Baby Trainer 200 Actuator,Laerdal ALS Baby Trainer 200 Detector"
pmsr:/INS1739392367425715,Laerdal DAE Simulator,medium,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,CARDIOVASCULAR_HEMODYNAMIC,CARDIOVASCULAR_HEMODYNAMIC,CARDIOVASCULAR_HEMODYNAMIC | AIRWAY_RESPIRATORY | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"CARDIOVASCULAR_HEMODYNAMIC:Laerdal DAE Simulator Actuator,Laerdal DAE Simulator Detector"
pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,medium,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,6,8,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,AUDIO_COMMUNICATION | CARDIOVASCULAR_HEMODYNAMIC | GENERAL_SIMULATION_OTHER | SOFTWARE_WORKFLOW_STATE,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"AUDIO_COMMUNICATION:Microphone  -- CB:EMPTY | CARDIOVASCULAR_HEMODYNAMIC:DAE Trainer  -- CB:EMPTY | GENERAL_SIMULATION_OTHER:Electrode  -- CB:Eletrodes Adult,Electrode  -- CB:Eletrodes Pediatric,Laerdal Nursing Anne Mannequin Actuator,Laerdal Nursing Anne Mannequin Detector | SOFTWARE_WORKFLOW_STATE:SimPad Device  -- CB:EMPTY,Skill Guide Device  -- CB:EMPTY"
pmsr:/INS1739401557396065,Laerdal Nursing Care Simulator,medium,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Laerdal Nursing Care Simulator Actuator,Laerdal Nursing Care Simulator Detector"
pmsr:/INS1739397137461495,Low-Fidelity Mannequin,high,Resuscitation and Mannequin Platforms,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Low-Fidelity Mannequin Actuator,Low-Fidelity Mannequin Detector"
pmsr:/INS1740143777940835,Male Examination Mannequin,high,Resuscitation and Mannequin Platforms,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Male Examination Mannequin Actuator,Male Examination Mannequin Detector"
pmsr:/INS1739403078441215,Male Genitalia Catherization Simulator,high,Procedure Trainers and Skills Simulators,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Male Genitalia Catherization Simulator Actuator,Male Genitalia Catherization Simulator Detector"
pmsr:/INS1739483351917145,Male Inguinal Hernia Anatomy Model,high,General Medical Device Governance,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,SOFTWARE_WORKFLOW_STATE,SOFTWARE_WORKFLOW_STATE,SOFTWARE_WORKFLOW_STATE | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"SOFTWARE_WORKFLOW_STATE:Male Inguinal Hernia Anatomy Model Actuator,Male Inguinal Hernia Anatomy Model Detector"
ncit:C16830,Medical Device,(blank),General Medical Device Governance,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"GENERAL_SIMULATION_OTHER:Medical Device Actuator,Medical Device Detector"
pmsr:/INS1739287092102085,Medical Examination Simulators,(blank),General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Medical Examination Simulators Actuator,Medical Examination Simulators Detector"
pmsr:/INS1739301814401805,Medical Procedure Simulator,(blank),General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Medical Procedure Simulator Actuator,Medical Procedure Simulator Detector"
pmsr:/INS1739821032633525,Monitoring Virtual Simulator,(blank),Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"GENERAL_SIMULATION_OTHER:Monitoring Virtual Simulator Actuator,Monitoring Virtual Simulator Detector"
pmsr:/INS1739400689838665,Nursing Care Simulator,(blank),General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Nursing Care Simulator Actuator,Nursing Care Simulator Detector"
pmsr:/INS1740143878244085,Obstetric Simulator,medium,Procedure Trainers and Skills Simulators,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Obstetric Simulator Actuator,Obstetric Simulator Detector"
pmsr:/INS1739303333850795,Oncology Care Simulator,medium,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Oncology Care Simulator Actuator,Oncology Care Simulator Detector"
pmsr:/INS1740087575777435,Patient Monitor Simulator,medium,Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"GENERAL_SIMULATION_OTHER:Patient Monitor Simulator Actuator,Patient Monitor Simulator Detector"
pmsr:/INS1739403291912375,Penis Foreskin Cleaning Simulator,medium,Procedure Trainers and Skills Simulators,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Penis Foreskin Cleaning Simulator Actuator,Penis Foreskin Cleaning Simulator Detector"
pmsr:PhysicalMedicalDevice,Physical Medical Device,(blank),General Medical Device Governance,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"GENERAL_SIMULATION_OTHER:Physical Medical Device Actuator,Physical Medical Device Detector"
pmsr:PhysicalMedicalSimulator,Physical Medical Simulator,(blank),General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Physical Medical Simulator Actuator,Physical Medical Simulator Detector"
pmsr:/INS1740087239872215,Physiology Simulator,high,General Medical Device Governance,HIGH_MANNEQUIN_PROCEDURE,8,15,1,1,0,2,BELOW_MIN,7,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"GENERAL_SIMULATION_OTHER:Physiology Simulator Actuator,Physiology Simulator Detector"
