codebook_uri,codebook_label,response_uri,response_label,slot_priority,semantic_domain,snomed_concept_id,snomed_fsn,snomed_preferred_term,map_type,map_scope,map_confidence,map_source,map_version,map_review_status,notes
pmsr:/CBK1786054978465925000,Detector State Codebook,pmsr:/ROP1786054978465915000,Unknown,3,device-operational,,,Unknown,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated shared response option: unknown
pmsr:/CBK1738186252574965,Eletrodes Adult Responses,pmsr:/ROP1786056052971706000,Detached,1,mixed-or-unknown,,,Detached,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738186252574965,Eletrodes Adult Responses,pmsr:/ROP1786056052971709000,Attached,2,mixed-or-unknown,,,Attached,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738187728844755,Eletrodes Pediatric Responses,pmsr:/ROP1786056052971706000,Detached,1,mixed-or-unknown,,,Detached,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738187728844755,Eletrodes Pediatric Responses,pmsr:/ROP1786056052971709000,Attached,2,mixed-or-unknown,,,Attached,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1740091832821965,IV Access Locations,pmsr:/ROP1740092924252535,Median Antecubital/Cephalic/Basilic Veins,1,mixed-or-unknown,,,Median Antecubital/Cephalic/Basilic Veins,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,"Neonatal Cubital fossa Median antecubital, cephalic and basilic veins - Median antecubital, cephalic and basilic veins are easy to hit and tend to last quite well if splinted properly.  These veins are the preferred sites for insertion of percutaneous central venous catheters.  These should be avoided unless absolutely necessary in any infant likely to need long term IV therapy. The median nerve and brachial artery are both in the same anatomical vicinity and therefore vulnerable to damage."
pmsr:/CBK1786055194373672000,IV Access Status Codebook,pmsr:/ROP1786055194373673000,Not Started,1,device-operational,,,Not Started,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373672000,IV Access Status Codebook,pmsr:/ROP1786055194373677000,Successful Access,2,device-operational,,,Successful Access,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373672000,IV Access Status Codebook,pmsr:/ROP1786055194373680000,Compromised Access,3,device-operational,,,Compromised Access,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1738088009248155,Intubation Results,pmsr:/ROP1786055194373625000,Inactive,1,clinical-observation,,,Inactive,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1738088009248155,Intubation Results,pmsr:/ROP1786056052971716000,Active,2,clinical-observation,,,Active,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,pmsr:/ROP1786055194373710000,Mild,1,clinical-observation,,,Mild,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,pmsr:/ROP1786055194373701000,Moderate,2,clinical-observation,,,Moderate,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,pmsr:/ROP1786055194373715000,Severe,3,clinical-observation,,,Severe,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,pmsr:/ROP1786055194373661000,Muted,1,device-operational,,,Muted,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,pmsr:/ROP1786055194373664000,Low Signal,2,device-operational,,,Low Signal,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,pmsr:/ROP1786055194373668000,Clear Signal,3,device-operational,,,Clear Signal,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1738148623334734,PASS and FAIL,pmsr:/ROP1738148696123634,Pass,1,mixed-or-unknown,,,Pass,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Process complete successfully
pmsr:/CBK1738148623334734,PASS and FAIL,pmsr:/ROP1738148709128504,Fail,2,mixed-or-unknown,,,Fail,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Process failed
pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,pmsr:/ROP1786055194373698000,Short,1,clinical-observation,,,Short,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,pmsr:/ROP1786055194373701000,Moderate,2,clinical-observation,,,Moderate,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,pmsr:/ROP1786055194373705000,Prolonged,3,clinical-observation,,,Prolonged,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1738239681967443,Pulse Bulb Response,pmsr:/ROP1738240077172043,Pressure Applied,1,clinical-observation,,,Pressure Applied,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Pressao Aplicada
pmsr:/CBK1738239681967443,Pulse Bulb Response,pmsr:/ROP1738240106626233,Pressure Not Applied,2,clinical-observation,,,Pressure Not Applied,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Pressao Nao Aplicada
pmsr:/CBK1738098997597015,Pulse Detection,pmsr:/ROP1738099044174655,Detected,1,clinical-observation,,,Detected,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Pulse has been detected
pmsr:/CBK1738098997597015,Pulse Detection,pmsr:/ROP1738099077224615,Not Detected,2,clinical-observation,,,Not Detected,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Pulse has not been detected
pmsr:/CBK1740097825927975,Pupil Simulator Size,pmsr:/ROP1786056052971735000,Constricted,1,clinical-observation,,,Constricted,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Auto-created while populating empty codebook from corpus remediation pass.
pmsr:/CBK1740097825927975,Pupil Simulator Size,pmsr:/ROP1786055194373686000,Normal,2,clinical-observation,,,Normal,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1740097825927975,Pupil Simulator Size,pmsr:/ROP1786056052971742000,Dilated,3,clinical-observation,,,Dilated,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Auto-created while populating empty codebook from corpus remediation pass.
pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,pmsr:/ROP1786055194373605000,No Alert,1,device-operational,,,No Alert,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,pmsr:/ROP1786055194373612000,Warning,2,device-operational,,,Warning,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373597000,Shock Link Monitor State Codebook,pmsr:/ROP1786055194373618000,Critical Alert,3,device-operational,,,Critical Alert,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373636000,SimPad Mode Codebook,pmsr:/ROP1786055194373637000,Setup,1,device-operational,,,Setup,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373636000,SimPad Mode Codebook,pmsr:/ROP1786055194373641000,Scenario Running,2,device-operational,,,Scenario Running,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373636000,SimPad Mode Codebook,pmsr:/ROP1786055194373644000,Paused,3,device-operational,,,Paused,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,pmsr:/ROP1786055194373625000,Inactive,1,device-operational,,,Inactive,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,pmsr:/ROP1786055194373628000,Guidance Active,2,device-operational,,,Guidance Active,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373623000,Skill Guide Status Codebook,pmsr:/ROP1786055194373632000,Feedback Complete,3,device-operational,,,Feedback Complete,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,pmsr:/ROP1786055194373720000,No Change,1,mixed-or-unknown,,,No Change,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,pmsr:/ROP1786055194373724000,Noticeable Increase,2,mixed-or-unknown,,,Noticeable Increase,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373719000,Skin Volume Change Level Codebook,pmsr:/ROP1786055194373728000,Pronounced Increase,3,mixed-or-unknown,,,Pronounced Increase,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1738096048734595,Stomach Inflator Responses,pmsr:/ROP1738095892998425,Stoma Deflated,1,mixed-or-unknown,,,Stoma Deflated,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,"The portion representing the Stoma, in the mannequin, appears to be deflated."
pmsr:/CBK1738096048734595,Stomach Inflator Responses,pmsr:/ROP1738095777366775,Stoma Inflated,2,mixed-or-unknown,,,Stoma Inflated,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,"The portion representing the Stoma, in the mannequin, appears to be inflated."
pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,pmsr:/ROP1786055194373733000,Superficial,1,mixed-or-unknown,,,Superficial,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,pmsr:/ROP1786055194373736000,Expected Depth,2,mixed-or-unknown,,,Expected Depth,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373731000,Tissue Penetration Depth Codebook,pmsr:/ROP1786055194373740000,Too Deep,3,mixed-or-unknown,,,Too Deep,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated specific option for legacy CB:EMPTY enrichment
