instrument_uri,instrument_label,slot_uri_to_patch,field,old_value,new_value,reason
pmsr:/INS1739403188428355,Female Genitalia Catherization Simulator,pmsr:/INS1739403188428355/CTS/0002,vstoi:hasNext,,pmsr:/INS1739403188428355/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739303195193785,Geriatic Care Simulator,pmsr:/INS1739303195193785/CTS/0002,vstoi:hasNext,,pmsr:/INS1739303195193785/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,pmsr:/INS1739397556188145/CTS/0002,vstoi:hasNext,,pmsr:/INS1739397556188145/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739287159797795,High-Fidelity Mannequin,pmsr:/INS1739287159797795/CTS/0002,vstoi:hasNext,,pmsr:/INS1739287159797795/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739300958884615,Imaging,pmsr:/INS1739300958884615/CTS/0002,vstoi:hasNext,,pmsr:/INS1739300958884615/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739404046114785,Intramuscular Injections Simulator,pmsr:/INS1739404046114785/CTS/0002,vstoi:hasNext,,pmsr:/INS1739404046114785/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739301081410085,Intraoral Scanner,pmsr:/INS1739301081410085/CTS/0002,vstoi:hasNext,,pmsr:/INS1739301081410085/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739402037946315,IV Fluid Administration,pmsr:/INS1739402037946315/CTS/0002,vstoi:hasNext,,pmsr:/INS1739402037946315/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739398519577895,Laerdal Airway Simulator,pmsr:/INS1739398519577895/CTS/0002,vstoi:hasNext,,pmsr:/INS1739398519577895/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739487989328225,Laerdal ALS Baby Trainer 200,pmsr:/INS1739487989328225/CTS/0002,vstoi:hasNext,,pmsr:/INS1739487989328225/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739392367425715,Laerdal DAE Simulator,pmsr:/INS1739392367425715/CTS/0002,vstoi:hasNext,,pmsr:/INS1739392367425715/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,pmsr:/INS1739823398493725/CTS/0006,vstoi:hasNext,,pmsr:/INS1739823398493725/CTS/0007,Append proposed detector expansion chain.
pmsr:/INS1739401557396065,Laerdal Nursing Care Simulator,pmsr:/INS1739401557396065/CTS/0002,vstoi:hasNext,,pmsr:/INS1739401557396065/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739397137461495,Low-Fidelity Mannequin,pmsr:/INS1739397137461495/CTS/0002,vstoi:hasNext,,pmsr:/INS1739397137461495/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1740143777940835,Male Examination Mannequin,pmsr:/INS1740143777940835/CTS/0002,vstoi:hasNext,,pmsr:/INS1740143777940835/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739403078441215,Male Genitalia Catherization Simulator,pmsr:/INS1739403078441215/CTS/0002,vstoi:hasNext,,pmsr:/INS1739403078441215/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739483351917145,Male Inguinal Hernia Anatomy Model,pmsr:/INS1739483351917145/CTS/0002,vstoi:hasNext,,pmsr:/INS1739483351917145/CTS/0003,Append proposed detector expansion chain.
ncit:C16830,Medical Device,ncit:C16830/CTS/0002,vstoi:hasNext,,ncit:C16830/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739287092102085,Medical Examination Simulators,pmsr:/INS1739287092102085/CTS/0002,vstoi:hasNext,,pmsr:/INS1739287092102085/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739301814401805,Medical Procedure Simulator,pmsr:/INS1739301814401805/CTS/0002,vstoi:hasNext,,pmsr:/INS1739301814401805/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739821032633525,Monitoring Virtual Simulator,pmsr:/INS1739821032633525/CTS/0002,vstoi:hasNext,,pmsr:/INS1739821032633525/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739400689838665,Nursing Care Simulator,pmsr:/INS1739400689838665/CTS/0002,vstoi:hasNext,,pmsr:/INS1739400689838665/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1740143878244085,Obstetric Simulator,pmsr:/INS1740143878244085/CTS/0002,vstoi:hasNext,,pmsr:/INS1740143878244085/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739303333850795,Oncology Care Simulator,pmsr:/INS1739303333850795/CTS/0002,vstoi:hasNext,,pmsr:/INS1739303333850795/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1740087575777435,Patient Monitor Simulator,pmsr:/INS1740087575777435/CTS/0002,vstoi:hasNext,,pmsr:/INS1740087575777435/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739403291912375,Penis Foreskin Cleaning Simulator,pmsr:/INS1739403291912375/CTS/0002,vstoi:hasNext,,pmsr:/INS1739403291912375/CTS/0003,Append proposed detector expansion chain.
pmsr:PhysicalMedicalDevice,Physical Medical Device,pmsr:PhysicalMedicalDevice/CTS/0002,vstoi:hasNext,,pmsr:PhysicalMedicalDevice/CTS/0003,Append proposed detector expansion chain.
pmsr:PhysicalMedicalSimulator,Physical Medical Simulator,pmsr:PhysicalMedicalSimulator/CTS/0002,vstoi:hasNext,,pmsr:PhysicalMedicalSimulator/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1740087239872215,Physiology Simulator,pmsr:/INS1740087239872215/CTS/0002,vstoi:hasNext,,pmsr:/INS1740087239872215/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739453043505715,Pitting Edema Simulator,pmsr:/INS1739453043505715/CTS/0002,vstoi:hasNext,,pmsr:/INS1739453043505715/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739288566447555,Portable Ultrasound,pmsr:/INS1739288566447555/CTS/0002,vstoi:hasNext,,pmsr:/INS1739288566447555/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739392122823235,Procedure Simulator,pmsr:/INS1739392122823235/CTS/0002,vstoi:hasNext,,pmsr:/INS1739392122823235/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739482671461295,Prostate Model,pmsr:/INS1739482671461295/CTS/0002,vstoi:hasNext,,pmsr:/INS1739482671461295/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739287640585765,Rectal Examination Simulator,pmsr:/INS1739287640585765/CTS/0002,vstoi:hasNext,,pmsr:/INS1739287640585765/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739402477829135,Rectal Medicine Administration Simulator,pmsr:/INS1739402477829135/CTS/0002,vstoi:hasNext,,pmsr:/INS1739402477829135/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739392275798255,ResusciAnne DAE Simulator,pmsr:/INS1739392275798255/CTS/0002,vstoi:hasNext,,pmsr:/INS1739392275798255/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739452868256965,SimSleeves Lymphedema Simulator,pmsr:/INS1739452868256965/CTS/0002,vstoi:hasNext,,pmsr:/INS1739452868256965/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739452783104705,Skin Care Procedure Simulator,pmsr:/INS1739452783104705/CTS/0002,vstoi:hasNext,,pmsr:/INS1739452783104705/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739401836683455,Stomach Bag Maintenance Simulator,pmsr:/INS1739401836683455/CTS/0002,vstoi:hasNext,,pmsr:/INS1739401836683455/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739301891301765,Suture Simulator,pmsr:/INS1739301891301765/CTS/0002,vstoi:hasNext,,pmsr:/INS1739301891301765/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739288428472235,Ultrasound,pmsr:/INS1739288428472235/CTS/0002,vstoi:hasNext,,pmsr:/INS1739288428472235/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739401657491675,Urine Bag Maintenance Simulator,pmsr:/INS1739401657491675/CTS/0002,vstoi:hasNext,,pmsr:/INS1739401657491675/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739402585415785,Vaginal Medicine Administration Simulator,pmsr:/INS1739402585415785/CTS/0002,vstoi:hasNext,,pmsr:/INS1739402585415785/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739302175458785,Vascular Access Simulator,pmsr:/INS1739302175458785/CTS/0002,vstoi:hasNext,,pmsr:/INS1739302175458785/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739288297796655,Vascular Access Ultrasound Simulator,pmsr:/INS1739288297796655/CTS/0002,vstoi:hasNext,,pmsr:/INS1739288297796655/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739303008518495,Ventilator Care Simulator,pmsr:/INS1739303008518495/CTS/0002,vstoi:hasNext,,pmsr:/INS1739303008518495/CTS/0003,Append proposed detector expansion chain.
