componentInstanceURI,componentStemURI,instrumentSlotURI,slotNumber,instrumentInstanceURI,instrumentLabel,componentEvidenceName,inferenceSource,oldLabel,newLabel
pmsr:CPI0397684027151,pmsr:/COM9c53e672a8d78deb3,pmsr:/INS1739303333850795/CTS/0005,0005,pmsr:INI1784603367299,EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,Oncology Care Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,Pulse rate detector for monitoring cardiovascular response for EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003
pmsr:CPI4013642184200,pmsr:/COM1786054978466312000,pmsr:/INS1739301711235865/CTS/0001,0001,pmsr:INI1784603367301,EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Care Simulators Detector,component-evidence-name,Simulation state detection sensor for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,State detector for monitoring simulator condition changes for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004
pmsr:CPI0634530581848,pmsr:/COM1786054978466316000,pmsr:/INS1739301711235865/CTS/0002,0002,pmsr:INI1784603367301,EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Care Simulators Actuator,component-evidence-name,Simulation response actuator for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Response actuator for driving simulator state changes for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004
pmsr:CPI0789628101018,pmsr:/COM9c9998b0d6c57586e,pmsr:/INS1739301711235865/CTS/0003,0003,pmsr:INI1784603367301,EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Care Simulators Interaction Event Detector,component-evidence-name,Interaction event tracking sensor for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Interaction event detector for tracking learner actions for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004
pmsr:CPI1738776873626,pmsr:/COM9c44ff66ece930aee,pmsr:/INS1739301711235865/CTS/0004,0004,pmsr:INI1784603367301,EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Care Simulators Airway Pressure Detector,component-evidence-name,Airway pressure monitoring sensor for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Airway pressure detector for monitoring ventilation pressure for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004
pmsr:CPI4914625998096,pmsr:/COM9edd3c7ab12ea1a73,pmsr:/INS1739301711235865/CTS/0005,0005,pmsr:INI1784603367301,EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Care Simulators Pulse Rate Detector,component-evidence-name,Pulse rate monitoring sensor for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004,Pulse rate detector for monitoring cardiovascular response for EMS-T Trainer (Emergency Medical Skills – Torso Trainer) SN:010004
pmsr:CPI0727662302470,pmsr:/COM17860549784662970,pmsr:/INS1739392182337835/CTS/0001,0001,pmsr:INI1784603367302,HEART WORKS SN:010005,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for HEART WORKS SN:010005,Primary state detector for simulator condition monitoring
pmsr:CPI9251253204098,pmsr:/COM17860549784663010,pmsr:/INS1739392182337835/CTS/0002,0002,pmsr:INI1784603367302,HEART WORKS SN:010005,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for HEART WORKS SN:010005,Primary response actuator for simulator state control
pmsr:CPI1699657193876,pmsr:/COM95a5e3eb50affb204,pmsr:/INS1739392182337835/CTS/0003,0003,pmsr:INI1784603367302,HEART WORKS SN:010005,Cardiac Procedure Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for HEART WORKS SN:010005,Pulse rate detector for monitoring cardiovascular response for HEART WORKS SN:010005
pmsr:CPI2175056534170,pmsr:/COM9af58efb3d975da63,pmsr:/INS1739392182337835/CTS/0004,0004,pmsr:INI1784603367302,HEART WORKS SN:010005,Cardiac Procedure Simulator Airway Pressure Detector,component-evidence-name,Simulation support component for HEART WORKS SN:010005,Airway pressure detector for monitoring ventilation pressure for HEART WORKS SN:010005
pmsr:CPI2089568859896,pmsr:/COM905b86b9e5409690b,pmsr:/INS1739392182337835/CTS/0005,0005,pmsr:INI1784603367302,HEART WORKS SN:010005,Cardiac Procedure Simulator Applied Force Detector,component-evidence-name,Simulation support component for HEART WORKS SN:010005,Applied force detector for monitoring procedural force application for HEART WORKS SN:010005
pmsr:CPI7391265062900,pmsr:/COM1786054978466312000,pmsr:/INS1739301711235865/CTS/0001,0001,pmsr:INI1784603367303,Hybrids VITA SN:010006,Care Simulators Detector,component-evidence-name,Simulation state detection sensor for Hybrids VITA SN:010006,State detector for monitoring simulator condition changes for Hybrids VITA SN:010006
pmsr:CPI9198175040688,pmsr:/COM1786054978466316000,pmsr:/INS1739301711235865/CTS/0002,0002,pmsr:INI1784603367303,Hybrids VITA SN:010006,Care Simulators Actuator,component-evidence-name,Simulation response actuator for Hybrids VITA SN:010006,Response actuator for driving simulator state changes for Hybrids VITA SN:010006
pmsr:CPI8523487829104,pmsr:/COM9c9998b0d6c57586e,pmsr:/INS1739301711235865/CTS/0003,0003,pmsr:INI1784603367303,Hybrids VITA SN:010006,Care Simulators Interaction Event Detector,component-evidence-name,Interaction event tracking sensor for Hybrids VITA SN:010006,Interaction event detector for tracking learner actions for Hybrids VITA SN:010006
pmsr:CPI4722052282930,pmsr:/COM9c44ff66ece930aee,pmsr:/INS1739301711235865/CTS/0004,0004,pmsr:INI1784603367303,Hybrids VITA SN:010006,Care Simulators Airway Pressure Detector,component-evidence-name,Airway pressure monitoring sensor for Hybrids VITA SN:010006,Airway pressure detector for monitoring ventilation pressure for Hybrids VITA SN:010006
pmsr:CPI7845843999368,pmsr:/COM9edd3c7ab12ea1a73,pmsr:/INS1739301711235865/CTS/0005,0005,pmsr:INI1784603367303,Hybrids VITA SN:010006,Care Simulators Pulse Rate Detector,component-evidence-name,Pulse rate monitoring sensor for Hybrids VITA SN:010006,Pulse rate detector for monitoring cardiovascular response for Hybrids VITA SN:010006
pmsr:CPI4004895862509,pmsr:/COM1786054978466312000,pmsr:/INS1739301711235865/CTS/0001,0001,pmsr:INI1784603367305,SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Care Simulators Detector,component-evidence-name,Simulation state detection sensor for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,State detector for monitoring simulator condition changes for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007
pmsr:CPI3516848891291,pmsr:/COM1786054978466316000,pmsr:/INS1739301711235865/CTS/0002,0002,pmsr:INI1784603367305,SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Care Simulators Actuator,component-evidence-name,Simulation response actuator for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Response actuator for driving simulator state changes for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007
pmsr:CPI6176078092407,pmsr:/COM9c9998b0d6c57586e,pmsr:/INS1739301711235865/CTS/0003,0003,pmsr:INI1784603367305,SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Care Simulators Interaction Event Detector,component-evidence-name,Interaction event tracking sensor for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Interaction event detector for tracking learner actions for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007
pmsr:CPI5492906533540,pmsr:/COM9c44ff66ece930aee,pmsr:/INS1739301711235865/CTS/0004,0004,pmsr:INI1784603367305,SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Care Simulators Airway Pressure Detector,component-evidence-name,Airway pressure monitoring sensor for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Airway pressure detector for monitoring ventilation pressure for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007
pmsr:CPI6653095657170,pmsr:/COM9edd3c7ab12ea1a73,pmsr:/INS1739301711235865/CTS/0005,0005,pmsr:INI1784603367305,SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Care Simulators Pulse Rate Detector,component-evidence-name,Pulse rate monitoring sensor for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007,Pulse rate detector for monitoring cardiovascular response for SimCapture Enterprise Cloud (Subscrição Anual) SN:010007
pmsr:CPI0171253940092,pmsr:/COM1786054978466312000,pmsr:/INS1739301711235865/CTS/0001,0001,pmsr:INI1784603367306,Simulador de Ressonância Magnética:Corsmed SN:010008,Care Simulators Detector,component-evidence-name,Simulation state detection sensor for Simulador de Ressonância Magnética:Corsmed SN:010008,State detector for monitoring simulator condition changes for Simulador de Ressonância Magnética:Corsmed SN:010008
pmsr:CPI0760283504700,pmsr:/COM1786054978466316000,pmsr:/INS1739301711235865/CTS/0002,0002,pmsr:INI1784603367306,Simulador de Ressonância Magnética:Corsmed SN:010008,Care Simulators Actuator,component-evidence-name,Simulation response actuator for Simulador de Ressonância Magnética:Corsmed SN:010008,Response actuator for driving simulator state changes for Simulador de Ressonância Magnética:Corsmed SN:010008
pmsr:CPI7403858847749,pmsr:/COM9c9998b0d6c57586e,pmsr:/INS1739301711235865/CTS/0003,0003,pmsr:INI1784603367306,Simulador de Ressonância Magnética:Corsmed SN:010008,Care Simulators Interaction Event Detector,component-evidence-name,Interaction event tracking sensor for Simulador de Ressonância Magnética:Corsmed SN:010008,Interaction event detector for tracking learner actions for Simulador de Ressonância Magnética:Corsmed SN:010008
pmsr:CPI6957260949721,pmsr:/COM9c44ff66ece930aee,pmsr:/INS1739301711235865/CTS/0004,0004,pmsr:INI1784603367306,Simulador de Ressonância Magnética:Corsmed SN:010008,Care Simulators Airway Pressure Detector,component-evidence-name,Airway pressure monitoring sensor for Simulador de Ressonância Magnética:Corsmed SN:010008,Airway pressure detector for monitoring ventilation pressure for Simulador de Ressonância Magnética:Corsmed SN:010008
pmsr:CPI4797909842146,pmsr:/COM9edd3c7ab12ea1a73,pmsr:/INS1739301711235865/CTS/0005,0005,pmsr:INI1784603367306,Simulador de Ressonância Magnética:Corsmed SN:010008,Care Simulators Pulse Rate Detector,component-evidence-name,Pulse rate monitoring sensor for Simulador de Ressonância Magnética:Corsmed SN:010008,Pulse rate detector for monitoring cardiovascular response for Simulador de Ressonância Magnética:Corsmed SN:010008
pmsr:CPI2874884280943,pmsr:/COM17860549784668980,pmsr:/INS1740143878244085/CTS/0001,0001,pmsr:INI1784603367307,Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,Primary state detector for simulator condition monitoring
pmsr:CPI6435884501823,pmsr:/COM17860549784669030,pmsr:/INS1740143878244085/CTS/0002,0002,pmsr:INI1784603367307,Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,Primary response actuator for simulator state control
pmsr:CPI7947934865442,pmsr:/COM9211bdcfaf513cb3f,pmsr:/INS1740143878244085/CTS/0003,0003,pmsr:INI1784603367307,Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,Obstetric Simulator Interaction Event Detector,component-evidence-name,Simulation support component for Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,Interaction event detector for tracking learner actions for Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009
pmsr:CPI6982936944873,pmsr:/COM9e04a1dac669f072d,pmsr:/INS1740143878244085/CTS/0004,0004,pmsr:INI1784603367307,Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,Obstetric Simulator Airway Pressure Detector,component-evidence-name,Simulation support component for Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,Airway pressure detector for monitoring ventilation pressure for Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009
pmsr:CPI0988647996285,pmsr:/COM925a48e7dda68b904,pmsr:/INS1740143878244085/CTS/0005,0005,pmsr:INI1784603367307,Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,Obstetric Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009,Pulse rate detector for monitoring cardiovascular response for Simulador pediátrico- SimJunior https://laerdal.com/gb/products/simulation-training/obstetrics-paediatrics/simjunior/ SN:010009
pmsr:CPI0223913016816,pmsr:/COM17860549784668980,pmsr:/INS1740143878244085/CTS/0001,0001,pmsr:INI1784603367308,Simulador SiMmom SN:010010,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador SiMmom SN:010010,Primary state detector for simulator condition monitoring
pmsr:CPI3926846224038,pmsr:/COM17860549784669030,pmsr:/INS1740143878244085/CTS/0002,0002,pmsr:INI1784603367308,Simulador SiMmom SN:010010,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador SiMmom SN:010010,Primary response actuator for simulator state control
pmsr:CPI4064207050384,pmsr:/COM9211bdcfaf513cb3f,pmsr:/INS1740143878244085/CTS/0003,0003,pmsr:INI1784603367308,Simulador SiMmom SN:010010,Obstetric Simulator Interaction Event Detector,component-evidence-name,Simulation support component for Simulador SiMmom SN:010010,Interaction event detector for tracking learner actions for Simulador SiMmom SN:010010
pmsr:CPI9003922067878,pmsr:/COM9e04a1dac669f072d,pmsr:/INS1740143878244085/CTS/0004,0004,pmsr:INI1784603367308,Simulador SiMmom SN:010010,Obstetric Simulator Airway Pressure Detector,component-evidence-name,Simulation support component for Simulador SiMmom SN:010010,Airway pressure detector for monitoring ventilation pressure for Simulador SiMmom SN:010010
pmsr:CPI6208562137207,pmsr:/COM925a48e7dda68b904,pmsr:/INS1740143878244085/CTS/0005,0005,pmsr:INI1784603367308,Simulador SiMmom SN:010010,Obstetric Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for Simulador SiMmom SN:010010,Pulse rate detector for monitoring cardiovascular response for Simulador SiMmom SN:010010
pmsr:CPI1859773671372,pmsr:/COM17860549784667900,ncit:C16830/CTS/0001,0001,pmsr:INI1784603367310,Sistema de Gestão do Centro de Simulação Laerdal SimCapture SN:010011,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Sistema de Gestão do Centro de Simulação Laerdal SimCapture SN:010011,Primary state detector for simulator condition monitoring
pmsr:CPI2253090986397,pmsr:/COM17860549784667940,ncit:C16830/CTS/0002,0002,pmsr:INI1784603367310,Sistema de Gestão do Centro de Simulação Laerdal SimCapture SN:010011,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Sistema de Gestão do Centro de Simulação Laerdal SimCapture SN:010011,Primary response actuator for simulator state control
pmsr:CPI8347989276966,pmsr:/COM909d6d9cdb98cf3b5,ncit:C16830/CTS/0003,0003,pmsr:INI1784603367310,Sistema de Gestão do Centro de Simulação Laerdal SimCapture SN:010011,Medical Device Interaction Event Detector,component-evidence-name,Simulation support component for Sistema de Gestão do Centro de Simulação Laerdal SimCapture SN:010011,Interaction event detector for tracking learner actions for Sistema de Gestão do Centro de Simulação Laerdal SimCapture SN:010011
pmsr:CPI0623870372289,pmsr:/COM17860549784665130,pmsr:/INS1739402037946315/CTS/0001,0001,pmsr:INI1784603367311,Braços de Punção SN:020001,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Braços de Punção SN:020001,Primary state detector for simulator condition monitoring
pmsr:CPI9865311206588,pmsr:/COM17860549784665170,pmsr:/INS1739402037946315/CTS/0002,0002,pmsr:INI1784603367311,Braços de Punção SN:020001,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Braços de Punção SN:020001,Primary response actuator for simulator state control
pmsr:CPI6512709874532,pmsr:/COM9727fb50145c10e09,pmsr:/INS1739402037946315/CTS/0003,0003,pmsr:INI1784603367311,Braços de Punção SN:020001,IV Fluid Administration Interaction Event Detector,component-evidence-name,Simulation support component for Braços de Punção SN:020001,Interaction event detector for tracking learner actions for Braços de Punção SN:020001
pmsr:CPI9399113140977,pmsr:/COM9ab325b780c153c16,pmsr:/INS1739402037946315/CTS/0004,0004,pmsr:INI1784603367311,Braços de Punção SN:020001,IV Fluid Administration Airway Pressure Detector,component-evidence-name,Simulation support component for Braços de Punção SN:020001,Airway pressure detector for monitoring ventilation pressure for Braços de Punção SN:020001
pmsr:CPI4096486450829,pmsr:/COM9a6077a472e113288,pmsr:/INS1739402037946315/CTS/0005,0005,pmsr:INI1784603367311,Braços de Punção SN:020001,IV Fluid Administration Pulse Rate Detector,component-evidence-name,Simulation support component for Braços de Punção SN:020001,Pulse rate detector for monitoring cardiovascular response for Braços de Punção SN:020001
pmsr:CPI4994238556838,pmsr:/COM17860549784664950,pmsr:/INS1739287159797795/CTS/0001,0001,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Manequim de Alta Fidelidade SN:020004,Primary state detector for simulator condition monitoring
pmsr:CPI4787832911889,pmsr:/COM17860549784664990,pmsr:/INS1739287159797795/CTS/0002,0002,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Manequim de Alta Fidelidade SN:020004,Primary response actuator for simulator state control
pmsr:CPI2281326022504,pmsr:/COM95611eb2ed74ee103,pmsr:/INS1739287159797795/CTS/0003,0003,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,High-Fidelity Mannequin Interaction Event Detector,component-evidence-name,Simulation support component for Manequim de Alta Fidelidade SN:020004,Interaction event detector for tracking learner actions for Manequim de Alta Fidelidade SN:020004
pmsr:CPI3597369145089,pmsr:/COM9f42e00a4b3026528,pmsr:/INS1739287159797795/CTS/0004,0004,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,High-Fidelity Mannequin Airway Pressure Detector,component-evidence-name,Simulation support component for Manequim de Alta Fidelidade SN:020004,Airway pressure detector for monitoring ventilation pressure for Manequim de Alta Fidelidade SN:020004
pmsr:CPI0633475249818,pmsr:/COM92177208ccc4e22b1,pmsr:/INS1739287159797795/CTS/0005,0005,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,High-Fidelity Mannequin Pulse Rate Detector,component-evidence-name,Simulation support component for Manequim de Alta Fidelidade SN:020004,Pulse rate detector for monitoring cardiovascular response for Manequim de Alta Fidelidade SN:020004
pmsr:CPI7414032128338,pmsr:/COM9137c395895688068,pmsr:/INS1739287159797795/CTS/0006,0006,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,High-Fidelity Mannequin Applied Force Detector,component-evidence-name,Simulation support component for Manequim de Alta Fidelidade SN:020004,Applied force detector for monitoring procedural force application for Manequim de Alta Fidelidade SN:020004
pmsr:CPI0895558623467,pmsr:/COM9627985a5056f2d15,pmsr:/INS1739287159797795/CTS/0007,0007,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,High-Fidelity Mannequin Venous Flashback Detector,component-evidence-name,Simulation support component for Manequim de Alta Fidelidade SN:020004,Venous flashback detector for confirming vascular access events for Manequim de Alta Fidelidade SN:020004
pmsr:CPI4959287739038,pmsr:/COM94748f0031a7167ca,pmsr:/INS1739287159797795/CTS/0008,0008,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,High-Fidelity Mannequin Procedure Completion Detector,component-evidence-name,Simulation support component for Manequim de Alta Fidelidade SN:020004,Procedure completion detector for validating successful procedure end state for Manequim de Alta Fidelidade SN:020004
pmsr:CPI1439975530044,pmsr:/COM91aa7b31291992fbb,pmsr:/INS1739287159797795/CTS/0009,0009,pmsr:INI1784603367315,Manequim de Alta Fidelidade SN:020004,High-Fidelity Mannequin Ventilation Flow Detector,component-evidence-name,Simulation support component for Manequim de Alta Fidelidade SN:020004,Ventilation flow detector for tracking inspiratory and expiratory flow for Manequim de Alta Fidelidade SN:020004
pmsr:CPI1727937792165,pmsr:/COM17860549784667900,ncit:C16830/CTS/0001,0001,pmsr:INI1784603367318,Quadro interativo com suporte (horizontal e vertical) SN:020006,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Quadro interativo com suporte (horizontal e vertical) SN:020006,Primary state detector for simulator condition monitoring
pmsr:CPI3191918955887,pmsr:/COM17860549784667940,ncit:C16830/CTS/0002,0002,pmsr:INI1784603367318,Quadro interativo com suporte (horizontal e vertical) SN:020006,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Quadro interativo com suporte (horizontal e vertical) SN:020006,Primary response actuator for simulator state control
pmsr:CPI4011589132025,pmsr:/COM909d6d9cdb98cf3b5,ncit:C16830/CTS/0003,0003,pmsr:INI1784603367318,Quadro interativo com suporte (horizontal e vertical) SN:020006,Medical Device Interaction Event Detector,component-evidence-name,Simulation support component for Quadro interativo com suporte (horizontal e vertical) SN:020006,Interaction event detector for tracking learner actions for Quadro interativo com suporte (horizontal e vertical) SN:020006
pmsr:CPI9730729095186,pmsr:/COM17860549784665130,pmsr:/INS1739402037946315/CTS/0001,0001,pmsr:INI1784603367319,Simulador de punção arterial SN:020007,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador de punção arterial SN:020007,Primary state detector for simulator condition monitoring
pmsr:CPI7531189791841,pmsr:/COM17860549784665170,pmsr:/INS1739402037946315/CTS/0002,0002,pmsr:INI1784603367319,Simulador de punção arterial SN:020007,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador de punção arterial SN:020007,Primary response actuator for simulator state control
